account_id,customer_id,product_id,agent_id,total_balance,overdue_balance,dpd,aging_bucket,assignment_date,status,target_amount
ACC00024,C0998,P005,A002,25918.27,22453.97,56,31-60,2025-08-10,Write-off Candidate,12709.37
ACC00025,C0196,P001,A007,22838.79,20383.31,105,91-120,2024-06-04,Promise to Pay,4969.77
ACC00026,C0664,P005,A006,34783.02,29154.7,55,31-60,2025-03-18,Legal,12853.71
ACC00027,C0301,P001,A010,922.63,359.96,91,91-120,2024-06-03,Active,120.13
ACC00028,C0691,P003,A009,10416.41,8743.25,52,31-60,2024-12-29,Legal,5499.0
ACC00029,C0591,P002,A004,15769.84,3008.99,97,91-120,2025-06-30,Promise to Pay,2126.81
ACC00030,C0799,P002,A009,16709.32,6413.08,33,31-60,2024-08-23,Promise to Pay,2058.73
ACC00031,C0168,P004,A005,11253.17,4724.2,30,1-30,2024-05-20,Legal,3621.72
ACC00032,C0127,P004,A001,42782.31,12309.58,54,31-60,2024-02-20,Active,5410.15
ACC00033,C0211,P004,A010,48477.57,26955.13,93,91-120,2025-08-15,Promise to Pay,7359.35
ACC00034,C0775,P002,A002,18240.32,18164.11,198,121+,2025-03-01,Active,14369.47
ACC00035,C0819,P005,A006,6043.62,3089.85,47,31-60,2024-01-08,Active,1396.64
ACC00036,C0985,P001,A006,41908.46,20565.91,40,31-60,2024-11-03,Active,12765.84
ACC00037,C0667,P004,A008,36616.64,33233.19,9,1-30,2024-02-16,Active,11611.64
ACC00038,C0579,P001,A003,34905.98,27438.16,35,31-60,2024-03-03,Promise to Pay,8941.97
ACC00039,C0758,P003,A006,8295.39,2116.8,87,61-90,2025-06-15,Write-off Candidate,1365.72
ACC00040,C0830,P002,A006,39434.56,5007.48,94,91-120,2024-07-27,Active,2880.24
ACC00041,C0931,P003,A010,1778.59,223.47,56,31-60,2025-04-26,Active,161.62
ACC00042,C0936,P004,A001,30126.12,17252.75,55,31-60,2024-06-10,Active,7059.82
ACC00043,C0229,P001,A007,48452.15,25097.73,135,121+,2025-03-01,Legal,13101.93
ACC00044,C0138,P005,A001,45027.68,14912.06,46,31-60,2024-11-26,Promise to Pay,6253.37
ACC00045,C0629,P001,A008,42672.44,11805.69,57,31-60,2024-08-12,Promise to Pay,8066.46
ACC00046,C0147,P002,A002,20490.01,18404.66,83,61-90,2024-04-17,Active,6449.04
ACC00047,C0748,P003,A006,33583.64,19073.0,75,61-90,2025-08-14,Write-off Candidate,6866.96
ACC00048,C0922,P002,A006,7688.44,5864.51,52,31-60,2024-02-05,Promise to Pay,3987.06
ACC00049,C0648,P001,A004,7576.25,990.24,122,121+,2024-08-31,Active,389.68
ACC00050,C0586,P004,A008,31621.29,26412.96,97,91-120,2025-08-14,Active,21014.66
ACC00051,C0465,P005,A005,37375.54,25785.93,34,31-60,2025-06-10,Write-off Candidate,10375.04
ACC00052,C0914,P002,A005,24624.08,14626.97,58,31-60,2024-04-08,Promise to Pay,5930.14
ACC00053,C0532,P003,A002,32293.49,31269.08,104,91-120,2024-05-09,Active,24547.88
ACC00054,C0850,P001,A002,6751.81,2787.56,70,61-90,2025-04-08,Active,2203.81
ACC00055,C0085,P005,A003,49927.97,13749.67,59,31-60,2024-08-15,Legal,4388.98
ACC00056,C0763,P003,A009,28362.71,16379.62,65,61-90,2024-02-18,Legal,6840.03
ACC00057,C0236,P005,A003,34179.65,22948.78,34,31-60,2024-08-19,Legal,14931.91
ACC00058,C0156,P005,A010,14281.86,13755.59,37,31-60,2025-02-14,Active,10187.03
ACC00059,C0996,P004,A008,36216.61,13399.92,35,31-60,2024-03-17,Active,7148.25
ACC00060,C0320,P002,A010,3431.5,1610.53,63,61-90,2024-05-27,Active,476.96
ACC00061,C0996,P002,A007,21240.96,13430.12,111,91-120,2024-09-11,Legal,3254.37
ACC00062,C0987,P003,A003,36435.96,22857.62,94,91-120,2024-06-04,Active,6524.59
ACC00063,C0283,P003,A001,15902.45,3058.85,77,61-90,2025-04-27,Active,1416.13
ACC00064,C0842,P001,A009,8106.99,7233.09,75,61-90,2024-12-15,Legal,5567.26
ACC00065,C0042,P004,A005,21582.57,5430.4,15,1-30,2025-05-13,Legal,1817.99
ACC00066,C0106,P001,A010,12443.98,10763.66,167,121+,2025-05-21,Legal,8373.55
ACC00067,C0432,P001,A002,42195.09,32034.44,99,91-120,2024-09-14,Promise to Pay,12727.21
ACC00068,C0683,P003,A006,35798.23,19223.43,4,1-30,2025-08-22,Active,10662.29
ACC00069,C0682,P003,A002,28253.2,24118.93,183,121+,2025-01-19,Promise to Pay,17419.56
ACC00070,C0684,P004,A001,41991.18,28487.24,79,61-90,2024-04-10,Promise to Pay,7705.34
ACC00071,C0783,P002,A006,45237.59,21698.05,83,61-90,2025-02-07,Promise to Pay,4858.6
ACC00072,C0663,P004,A008,2345.17,1076.02,77,61-90,2025-03-18,Promise to Pay,231.76
ACC00073,C0581,P002,A001,5390.81,5005.92,71,61-90,2024-01-30,Promise to Pay,3552.49
ACC00074,C0260,P003,A006,14193.31,11430.42,38,31-60,2024-11-28,Active,9082.45
ACC00075,C0270,P002,A004,27590.25,10751.73,88,61-90,2025-02-14,Legal,7188.4
ACC00076,C0177,P004,A002,27142.62,22382.89,50,31-60,2024-08-21,Active,8583.86
ACC00077,C0937,P001,A007,32154.01,25109.32,46,31-60,2024-07-26,Active,15679.2
ACC00078,C0360,P003,A008,8381.26,2109.47,115,91-120,2024-01-17,Active,1158.33
ACC00079,C0931,P005,A009,27143.59,12436.49,18,1-30,2024-03-18,Active,3162.91
ACC00080,C0613,P004,A005,26874.97,12284.04,11,1-30,2025-01-29,Active,9503.49
ACC00081,C0835,P003,A010,16529.9,4997.69,63,61-90,2024-02-11,Active,1464.36
ACC00082,C0281,P001,A008,49171.48,15775.03,23,1-30,2024-08-19,Active,10836.11
ACC00083,C0149,P001,A005,42947.8,22974.75,1,1-30,2025-03-25,Active,12193.52
ACC00084,C0582,P002,A007,29254.33,19440.37,17,1-30,2025-01-31,Promise to Pay,12131.72
ACC00085,C0373,P003,A007,46312.54,14414.09,59,31-60,2025-07-07,Active,11168.82
ACC00086,C0138,P003,A004,6873.85,6756.38,109,91-120,2025-06-03,Promise to Pay,3521.53
ACC00087,C0108,P005,A004,35256.15,34510.26,83,61-90,2024-08-17,Active,18792.75
ACC00088,C0055,P004,A010,22091.12,21159.93,49,31-60,2024-06-24,Active,9925.72
ACC00089,C0666,P001,A006,7820.07,5582.02,53,31-60,2024-03-07,Write-off Candidate,2041.09
ACC00090,C0259,P001,A010,38336.08,8434.75,53,31-60,2025-02-09,Active,3975.02
ACC00091,C0552,P003,A006,43860.45,41739.4,26,1-30,2024-05-27,Legal,32895.12
ACC00092,C0601,P003,A001,35749.63,15104.74,127,121+,2024-05-02,Legal,3664.53
ACC00093,C0066,P005,A007,10133.64,9949.25,84,61-90,2024-07-02,Legal,2165.88
ACC00094,C0952,P004,A002,47334.28,29186.44,34,31-60,2025-01-31,Legal,12514.4
ACC00095,C0486,P002,A006,18080.27,13316.78,10,1-30,2024-09-15,Active,4138.05
ACC00096,C0412,P002,A004,31833.86,12916.53,51,31-60,2024-04-06,Promise to Pay,2741.41
ACC00097,C0621,P001,A009,5226.77,530.81,12,1-30,2025-06-25,Active,210.26
ACC00098,C0314,P001,A010,3934.77,1003.97,88,61-90,2025-05-25,Active,332.34
ACC00099,C0354,P001,A003,9257.95,4597.76,79,61-90,2024-06-30,Promise to Pay,3166.1
ACC00100,C0456,P001,A010,44467.56,36209.17,18,1-30,2024-05-03,Legal,14012.92
ACC00101,C0299,P001,A006,26165.2,23815.76,79,61-90,2025-05-24,Active,6981.63
ACC00102,C0628,P003,A008,41672.62,33573.81,191,121+,2024-04-29,Promise to Pay,8033.48
ACC00103,C0253,P003,A003,24793.02,20197.6,27,1-30,2024-02-12,Active,15147.52
ACC00104,C0944,P004,A010,5002.2,3448.14,17,1-30,2025-06-23,Promise to Pay,2142.41
ACC00105,C0535,P004,A009,16355.66,8228.76,70,61-90,2024-07-21,Active,4738.15
ACC00106,C0414,P004,A007,24816.35,9662.57,1,1-30,2025-05-10,Promise to Pay,3705.97
ACC00107,C0806,P003,A001,9809.91,1768.42,32,31-60,2025-08-07,Promise to Pay,1033.75
ACC00108,C0757,P001,A009,19552.62,8145.41,10,1-30,2025-07-04,Active,5662.99
ACC00109,C0895,P004,A009,25682.91,18312.43,36,31-60,2024-02-15,Write-off Candidate,4746.41
ACC00110,C0973,P002,A004,35844.71,19562.17,63,61-90,2025-08-07,Promise to Pay,4095.45
ACC00111,C0945,P004,A004,46253.46,4822.61,135,121+,2024-09-03,Promise to Pay,3612.84
ACC00112,C0339,P002,A007,45920.39,21204.33,102,91-120,2024-06-08,Active,7372.83
ACC00113,C0685,P003,A007,43255.3,28702.98,83,61-90,2024-07-28,Write-off Candidate,16992.22
ACC00114,C0936,P003,A007,41265.97,18133.03,74,61-90,2024-07-13,Legal,8938.31
ACC00115,C0615,P001,A007,22731.85,15836.52,25,1-30,2024-08-16,Active,4254.14
ACC00116,C0163,P004,A002,8784.65,6729.78,11,1-30,2025-02-11,Active,2502.56
ACC00117,C0877,P005,A005,20047.86,17983.73,4,1-30,2024-07-25,Write-off Candidate,9582.63
ACC00118,C0510,P002,A003,23713.37,4704.96,32,31-60,2024-08-22,Active,2036.49
ACC00119,C0086,P001,A004,22186.37,5069.2,42,31-60,2024-02-12,Promise to Pay,2545.61
ACC00120,C0998,P002,A004,28655.67,27329.79,62,61-90,2024-12-15,Legal,9578.58
ACC00121,C0180,P003,A008,3293.19,1455.69,21,1-30,2024-10-25,Promise to Pay,487.86
ACC00122,C0643,P002,A006,1752.83,870.24,75,61-90,2024-09-08,Promise to Pay,324.32
ACC00123,C0165,P002,A009,6012.61,953.71,128,121+,2025-06-14,Promise to Pay,544.71
ACC00124,C0174,P003,A006,5637.73,1749.36,29,1-30,2025-01-25,Active,411.19
ACC00125,C0397,P005,A002,31600.19,19190.0,115,91-120,2024-03-16,Active,13325.52
ACC00126,C0488,P005,A007,19644.97,18057.99,20,1-30,2024-08-31,Promise to Pay,10249.08
ACC00127,C0354,P004,A008,22984.05,20490.28,140,121+,2024-08-17,Active,11930.59
ACC00128,C0179,P004,A005,37130.28,18140.48,102,91-120,2024-11-03,Active,8634.13
ACC00129,C0728,P005,A004,42086.7,17577.39,137,121+,2025-02-19,Active,7920.99
ACC00130,C0752,P004,A008,18496.23,7276.6,180,121+,2025-02-12,Active,3769.0
ACC00131,C0252,P002,A004,36600.69,29489.66,88,61-90,2025-01-07,Write-off Candidate,15597.77
ACC00132,C0783,P004,A006,19945.06,10435.44,67,61-90,2025-07-09,Promise to Pay,3967.47
ACC00133,C0853,P005,A007,17215.32,15509.84,7,1-30,2025-01-28,Write-off Candidate,7120.11
ACC00134,C0966,P004,A001,28585.95,7292.47,73,61-90,2025-07-30,Legal,4264.22
ACC00135,C0589,P002,A003,12662.07,9681.66,45,31-60,2025-05-13,Active,7356.24
ACC00136,C0628,P005,A001,3735.27,445.69,86,61-90,2024-02-24,Active,113.19
ACC00137,C0954,P003,A004,15724.31,2506.78,67,61-90,2024-11-19,Promise to Pay,1747.11
ACC00138,C0487,P003,A003,40215.63,9805.82,4,1-30,2024-06-04,Active,2658.01
ACC00139,C0933,P005,A007,31619.78,23078.53,18,1-30,2024-10-14,Promise to Pay,17128.68
ACC00140,C1000,P001,A003,37905.84,8416.57,133,121+,2025-01-25,Active,4091.53
ACC00141,C0786,P001,A010,18438.02,9160.8,87,61-90,2025-08-08,Active,6745.95
ACC00142,C0994,P004,A010,49396.86,44350.56,41,31-60,2024-03-11,Active,25475.79
ACC00143,C0694,P004,A003,39652.89,27836.86,30,1-30,2024-11-24,Active,18808.51
ACC00144,C0806,P001,A006,24990.12,16485.38,86,61-90,2025-03-03,Write-off Candidate,6909.51
ACC00145,C0259,P002,A009,45261.85,5481.21,17,1-30,2024-11-22,Write-off Candidate,1267.29
ACC00146,C0245,P003,A005,17207.13,5945.97,44,31-60,2025-04-14,Promise to Pay,2376.91
ACC00147,C0033,P002,A010,1451.0,642.22,19,1-30,2025-04-26,Active,142.31
ACC00148,C0689,P003,A007,25872.92,25725.13,56,31-60,2025-03-10,Active,10425.81
ACC00149,C0966,P003,A005,14441.24,2526.86,76,61-90,2025-04-05,Write-off Candidate,633.93
ACC00150,C0683,P003,A009,40632.38,33546.25,91,91-120,2024-04-19,Active,10274.02
ACC00151,C0067,P002,A010,4825.66,810.09,115,91-120,2024-01-14,Promise to Pay,327.83
ACC00152,C0931,P005,A002,48299.39,46956.61,21,1-30,2024-12-04,Legal,12373.05
ACC00153,C0125,P001,A003,46364.82,12380.21,24,1-30,2024-04-03,Active,8356.09
ACC00154,C0239,P002,A001,16360.05,9429.93,73,61-90,2025-05-02,Legal,5893.16
ACC00155,C0508,P005,A003,33969.89,29842.8,54,31-60,2024-03-03,Active,15057.2
ACC00156,C0082,P002,A004,27328.92,26658.03,29,1-30,2024-05-06,Promise to Pay,6543.69
ACC00157,C0192,P003,A004,41884.0,15373.42,21,1-30,2025-02-26,Promise to Pay,5707.26
ACC00158,C0437,P003,A006,845.66,762.36,77,61-90,2024-09-14,Active,226.24
ACC00159,C0064,P001,A008,3490.0,2722.5,54,31-60,2025-03-16,Active,1793.2
ACC00160,C0734,P004,A001,16260.7,12915.02,132,121+,2025-01-05,Promise to Pay,7275.08
ACC00161,C0983,P001,A010,16293.67,6880.84,27,1-30,2025-05-06,Active,2615.74
ACC00162,C0501,P003,A009,11791.53,2989.13,145,121+,2024-12-27,Active,2176.04
ACC00163,C0333,P004,A008,22882.73,5214.39,105,91-120,2025-01-29,Active,1119.47
ACC00164,C0143,P003,A007,20271.2,2281.63,140,121+,2024-06-25,Active,1751.44
ACC00165,C0223,P001,A001,13909.06,3866.45,35,31-60,2025-05-24,Active,1477.42
ACC00166,C0979,P005,A005,30537.84,16772.09,16,1-30,2025-03-21,Write-off Candidate,4962.73
ACC00167,C0993,P001,A006,47671.04,35058.32,129,121+,2024-10-23,Active,17923.83
ACC00168,C0507,P002,A007,31759.68,12853.86,40,31-60,2024-11-14,Promise to Pay,5879.34
ACC00169,C0125,P005,A003,36375.46,30061.11,41,31-60,2024-05-11,Active,23515.56
ACC00170,C0065,P001,A008,10868.07,4277.46,38,31-60,2024-08-27,Write-off Candidate,3171.88
ACC00171,C0650,P004,A005,39793.99,28989.79,79,61-90,2024-05-10,Write-off Candidate,19392.93
ACC00172,C0587,P002,A010,41073.02,22168.31,87,61-90,2025-04-26,Legal,8602.99
ACC00173,C0902,P001,A007,16421.92,9464.15,110,91-120,2025-04-18,Promise to Pay,6951.86
ACC00174,C0982,P003,A002,10062.5,7979.07,55,31-60,2024-05-26,Active,5319.29
ACC00175,C0486,P002,A004,18130.35,11940.42,71,61-90,2025-07-29,Active,4342.19
ACC00176,C0328,P004,A006,10402.89,8630.82,78,61-90,2024-07-11,Write-off Candidate,4820.76
ACC00177,C0124,P003,A001,26413.36,14625.51,67,61-90,2024-09-11,Legal,6636.98
ACC00178,C0839,P001,A005,15157.12,1908.87,5,1-30,2025-03-07,Active,914.28
ACC00179,C0932,P002,A008,8270.43,4132.94,78,61-90,2024-11-17,Active,1504.93
ACC00180,C0283,P002,A010,29530.78,11532.46,36,31-60,2024-01-18,Active,8310.78
ACC00181,C0566,P004,A006,36164.81,21522.2,27,1-30,2025-03-20,Promise to Pay,9412.14
ACC00182,C0335,P005,A001,28498.04,17431.59,71,61-90,2025-06-07,Active,10988.21
ACC00183,C0136,P004,A002,8002.71,4565.57,138,121+,2024-08-28,Active,1900.15
ACC00184,C0366,P003,A002,3944.04,1816.25,55,31-60,2024-03-04,Promise to Pay,1062.67
ACC00185,C0406,P002,A009,10759.1,2616.12,117,91-120,2024-09-24,Active,611.93
ACC00186,C0700,P005,A001,35015.74,18587.19,27,1-30,2024-02-13,Active,6312.2
ACC00187,C0157,P002,A009,37920.17,26666.86,43,31-60,2024-01-20,Promise to Pay,9967.64
ACC00188,C0025,P004,A009,29688.6,8548.92,7,1-30,2025-08-19,Active,3501.88
ACC00189,C0083,P005,A006,8626.87,2514.74,57,31-60,2025-07-03,Active,1450.02
ACC00190,C0638,P003,A005,19726.78,16794.2,77,61-90,2024-09-19,Active,6654.45
ACC00191,C0267,P004,A002,1926.47,1238.78,75,61-90,2025-06-08,Legal,399.82
ACC00192,C0116,P001,A007,46687.64,13307.14,114,91-120,2025-08-06,Promise to Pay,5045.61
ACC00193,C0707,P002,A010,23457.1,16022.3,102,91-120,2024-08-23,Promise to Pay,11706.35
ACC00194,C0259,P002,A009,11212.97,2947.07,1,1-30,2024-12-07,Active,2263.58
ACC00195,C0398,P003,A008,37816.0,35121.12,198,121+,2025-05-06,Promise to Pay,13037.15
ACC00196,C0684,P002,A002,513.4,65.76,89,61-90,2024-02-21,Legal,50.51
ACC00197,C0953,P001,A005,28621.49,6970.43,54,31-60,2024-02-24,Active,4094.87
ACC00198,C0995,P004,A006,32854.49,12081.35,14,1-30,2024-02-05,Legal,4605.77
ACC00199,C0270,P004,A004,37340.9,26648.17,21,1-30,2024-02-01,Legal,20231.98
ACC00200,C0179,P001,A002,23034.61,20680.38,8,1-30,2025-07-24,Active,4415.99
ACC00201,C0577,P004,A002,11166.04,5111.65,65,61-90,2025-01-21,Active,2547.92
ACC00202,C0851,P004,A007,29049.65,4056.21,1,1-30,2024-03-05,Write-off Candidate,2944.1
ACC00203,C0727,P003,A008,1708.44,589.01,9,1-30,2024-07-11,Active,276.12
ACC00204,C0002,P001,A010,28167.75,20637.17,104,91-120,2024-08-25,Promise to Pay,13321.61
ACC00205,C0294,P003,A002,41125.35,24269.37,75,61-90,2025-01-17,Promise to Pay,10260.2
ACC00206,C0565,P005,A003,17665.99,4532.5,51,31-60,2025-02-15,Active,3581.16
ACC00207,C0786,P003,A003,44526.74,31531.15,115,91-120,2025-02-21,Active,14473.64
ACC00208,C0617,P003,A003,32450.47,16409.94,42,31-60,2025-07-06,Legal,4899.45
ACC00209,C0044,P003,A009,30140.23,17667.9,139,121+,2024-06-12,Legal,9615.15
ACC00210,C0836,P002,A007,44095.79,43718.93,14,1-30,2025-07-11,Active,11467.0
ACC00211,C0005,P003,A009,37115.71,26560.36,66,61-90,2024-12-08,Active,10499.11
ACC00212,C0857,P003,A009,33016.15,14973.48,187,121+,2025-08-13,Active,6660.19
ACC00213,C0770,P001,A004,8207.21,5946.52,75,61-90,2024-07-11,Promise to Pay,4376.1
ACC00214,C0993,P005,A002,4074.23,3891.3,60,31-60,2024-09-04,Legal,1485.37
ACC00215,C0215,P005,A002,1663.53,212.91,145,121+,2024-05-03,Active,148.31
ACC00216,C0697,P001,A002,21384.92,9019.37,4,1-30,2025-02-16,Active,5037.65
ACC00217,C0352,P004,A006,31153.26,28897.77,14,1-30,2024-02-12,Promise to Pay,22719.66
ACC00218,C0512,P003,A006,23943.08,19586.6,23,1-30,2025-07-05,Legal,8884.89
ACC00219,C0602,P005,A006,49734.6,21981.23,183,121+,2025-05-14,Legal,5541.41
ACC00220,C0259,P005,A002,41616.19,27806.65,24,1-30,2024-04-06,Active,18058.51
ACC00221,C0248,P005,A008,27854.98,20435.42,10,1-30,2025-04-07,Active,9121.64
ACC00222,C0011,P002,A010,1897.67,1054.47,115,91-120,2024-03-11,Promise to Pay,503.94
ACC00223,C0714,P005,A007,32858.26,4726.44,108,91-120,2025-08-22,Active,2410.68
ACC00224,C0179,P004,A005,14869.19,5922.01,92,91-120,2024-04-22,Promise to Pay,4625.91
ACC00225,C0079,P002,A008,19671.53,15148.61,31,31-60,2024-06-29,Legal,3428.51
ACC00226,C0188,P002,A006,42354.15,12954.41,109,91-120,2025-03-31,Legal,9959.67
ACC00227,C0119,P001,A003,48950.45,31557.64,24,1-30,2024-01-25,Active,13254.38
ACC00228,C0716,P004,A001,34843.7,23392.28,89,61-90,2024-04-18,Active,5149.16
ACC00229,C0447,P005,A007,13507.39,12883.29,3,1-30,2025-01-01,Active,6496.63
ACC00230,C0250,P002,A002,28735.82,20062.68,3,1-30,2025-04-01,Promise to Pay,10584.09
ACC00231,C0571,P003,A008,32985.0,20579.62,26,1-30,2024-04-28,Promise to Pay,6983.67
ACC00232,C0151,P003,A003,1054.08,162.32,73,61-90,2024-01-13,Active,97.32
ACC00233,C0600,P005,A001,7284.56,6764.87,56,31-60,2025-05-06,Legal,2118.76
ACC00234,C0487,P004,A008,19698.95,13199.42,6,1-30,2025-07-08,Legal,3201.53
ACC00235,C0684,P002,A009,3865.7,2172.7,25,1-30,2024-03-15,Promise to Pay,756.62
ACC00236,C0772,P004,A006,20616.38,16021.69,154,121+,2024-02-13,Legal,10708.56
ACC00237,C0029,P002,A006,41900.44,12664.36,50,31-60,2024-05-10,Active,9746.91
ACC00238,C0522,P004,A003,14737.57,11728.0,17,1-30,2025-03-19,Promise to Pay,5282.17
ACC00239,C0576,P001,A003,18791.3,8530.13,92,91-120,2025-04-20,Promise to Pay,6755.93
ACC00240,C0350,P003,A009,15753.02,15022.81,90,61-90,2025-06-07,Active,9831.69
ACC00241,C0860,P005,A009,30167.42,24352.18,198,121+,2024-05-20,Active,6199.89
ACC00242,C0502,P003,A009,3615.25,2408.51,51,31-60,2024-10-04,Legal,1340.72
ACC00243,C0234,P003,A006,9967.7,9719.57,193,121+,2024-07-15,Legal,4962.84
ACC00244,C0422,P003,A005,33126.0,26218.65,82,61-90,2024-05-22,Legal,16072.01
ACC00245,C0195,P003,A009,40002.52,24944.54,67,61-90,2024-06-26,Active,15806.0
ACC00246,C0299,P002,A004,41604.27,11015.56,81,61-90,2025-05-23,Active,4791.53
ACC00247,C0735,P003,A010,7743.83,4997.75,41,31-60,2024-09-15,Active,2128.73
ACC00248,C0564,P004,A001,46739.04,43702.18,26,1-30,2025-04-10,Write-off Candidate,23179.05
ACC00249,C0841,P003,A009,13652.21,13425.85,67,61-90,2025-05-16,Promise to Pay,6522.56
ACC00250,C0397,P003,A002,18386.08,15098.09,4,1-30,2024-02-25,Active,3656.27
ACC00251,C0111,P005,A009,5246.59,4033.16,26,1-30,2025-03-09,Active,2963.51
ACC00252,C0581,P001,A001,36118.81,12849.96,20,1-30,2024-09-03,Active,7337.16
ACC00253,C0585,P003,A009,8009.29,4792.27,38,31-60,2024-11-20,Legal,1452.56
ACC00254,C0990,P004,A004,47746.43,8692.71,31,31-60,2024-10-03,Legal,2388.22
ACC00255,C0253,P004,A004,8699.31,2228.67,20,1-30,2024-08-13,Active,449.97
ACC00256,C0688,P003,A007,42554.68,21343.24,80,61-90,2024-08-25,Active,5318.7
ACC00257,C0730,P004,A008,19531.54,12764.79,29,1-30,2025-01-24,Active,8412.42
ACC00258,C0211,P004,A007,17443.29,2069.55,107,91-120,2025-06-03,Promise to Pay,1454.75
ACC00259,C0622,P002,A006,30247.2,22051.3,3,1-30,2025-01-21,Active,9755.58
ACC00260,C0224,P003,A006,35889.22,32609.21,38,31-60,2025-01-23,Promise to Pay,15712.02
ACC00261,C0025,P005,A004,22886.17,18768.73,63,61-90,2025-02-02,Promise to Pay,7802.39
ACC00262,C0021,P004,A007,21494.82,10610.4,90,61-90,2024-12-22,Active,4455.91
ACC00263,C0267,P004,A003,29481.98,16670.67,28,1-30,2025-06-27,Legal,11795.19
ACC00264,C0391,P003,A001,35501.68,8622.59,93,91-120,2025-07-20,Active,2134.55
ACC00265,C0955,P003,A008,42995.76,15076.98,5,1-30,2024-07-09,Active,5834.17
ACC00266,C0534,P001,A004,3081.25,2123.47,110,91-120,2024-06-29,Active,1023.83
ACC00267,C0434,P002,A004,30330.4,5136.23,7,1-30,2024-04-13,Active,3440.69
ACC00268,C0547,P001,A008,36298.82,8619.04,72,61-90,2024-07-10,Active,1769.04
ACC00269,C0876,P002,A005,25295.2,22901.12,31,31-60,2025-02-07,Active,5244.51
ACC00270,C0160,P002,A004,18675.95,15031.18,117,91-120,2025-04-18,Active,4585.82
ACC00271,C0113,P002,A003,2592.54,2552.54,85,61-90,2024-05-19,Active,1216.19
ACC00272,C0819,P004,A007,20492.97,11733.16,84,61-90,2025-06-16,Active,6609.41
ACC00273,C0736,P004,A005,8761.33,7641.06,44,31-60,2024-05-09,Legal,2476.74
ACC00274,C0615,P003,A005,20914.44,9167.84,29,1-30,2025-01-17,Active,4513.63
ACC00275,C0769,P001,A004,37642.2,19007.29,51,31-60,2024-05-23,Promise to Pay,7245.26
ACC00276,C0251,P002,A001,13019.54,5980.07,177,121+,2025-04-21,Active,1930.46
ACC00277,C0134,P004,A001,44903.42,41781.38,5,1-30,2024-10-29,Active,17144.28
ACC00278,C0932,P004,A007,18061.33,10137.92,10,1-30,2025-05-03,Active,7996.94
ACC00279,C0868,P004,A002,15861.92,8819.95,37,31-60,2024-01-12,Write-off Candidate,2536.29
ACC00280,C0729,P005,A005,11325.34,6443.91,17,1-30,2024-01-25,Active,2580.3
ACC00281,C0628,P004,A006,18714.39,15366.41,70,61-90,2025-08-22,Active,7115.24
ACC00282,C0500,P004,A009,27625.49,21383.33,25,1-30,2025-06-02,Active,16697.76
ACC00283,C0956,P004,A006,36706.77,24655.36,75,61-90,2024-05-27,Active,18466.79
ACC00284,C0096,P005,A007,2573.64,958.99,8,1-30,2024-05-16,Active,519.37
ACC00285,C0428,P002,A007,49526.1,14340.5,39,31-60,2024-03-08,Active,3190.43
