payment_id,account_id,payment_date,amount,payment_method_id,payment_status
PAY000128,ACC00113,2025-12-01,3536.15,PM03,Completed
PAY000129,ACC00113,2025-07-07,1488.02,PM02,Completed
PAY000130,ACC00114,2025-10-28,4692.52,PM02,Completed
PAY000131,ACC00115,2024-10-31,4204.89,PM03,Failed
PAY000132,ACC00115,2025-09-21,2218.3,PM03,Completed
PAY000133,ACC00116,2025-01-14,1676.54,PM04,Failed
PAY000134,ACC00117,2024-12-22,2615.65,PM04,Completed
PAY000135,ACC00117,2024-04-23,760.12,PM04,Completed
PAY000136,ACC00118,2025-08-20,3318.65,PM02,Completed
PAY000137,ACC00119,2025-10-08,1531.24,PM04,Failed
PAY000138,ACC00120,2025-10-16,4498.63,PM03,Failed
PAY000139,ACC00121,2024-12-02,4583.73,PM04,Completed
PAY000140,ACC00122,2024-12-02,3984.28,PM04,Completed
PAY000141,ACC00123,2025-05-23,4974.82,PM04,Completed
PAY000142,ACC00124,2024-04-17,3209.07,PM01,Completed
PAY000143,ACC00124,2024-08-02,2200.37,PM02,Completed
PAY000144,ACC00124,2025-07-03,1266.52,PM01,Completed
PAY000145,ACC00125,2025-05-18,4729.04,PM04,Completed
PAY000146,ACC00125,2024-12-10,162.19,PM02,Failed
PAY000147,ACC00125,2025-09-24,4226.36,PM03,Failed
PAY000148,ACC00126,2024-06-19,2906.61,PM04,Completed
PAY000149,ACC00127,2024-05-31,2143.64,PM02,Completed
PAY000150,ACC00128,2025-01-17,1599.75,PM01,Failed
PAY000151,ACC00129,2024-01-22,3757.56,PM04,Completed
PAY000152,ACC00130,2025-11-15,2003.09,PM02,Completed
PAY000153,ACC00130,2024-05-04,2943.24,PM01,Completed
PAY000154,ACC00132,2025-06-29,2397.84,PM01,Completed
PAY000155,ACC00132,2024-05-17,650.25,PM03,Completed
PAY000156,ACC00132,2025-03-12,2679.04,PM01,Completed
PAY000157,ACC00133,2024-04-13,261.45,PM04,Completed
PAY000158,ACC00133,2024-12-01,1100.28,PM01,Completed
PAY000159,ACC00134,2025-02-14,3500.94,PM01,Completed
PAY000160,ACC00135,2025-05-23,742.31,PM01,Completed
PAY000161,ACC00135,2025-03-26,2572.8,PM01,Completed
PAY000162,ACC00136,2025-08-04,4002.47,PM01,Completed
PAY000163,ACC00139,2024-11-25,4215.69,PM06,Reversed
PAY000164,ACC00140,2025-01-10,3345.01,PM03,Completed
PAY000165,ACC00142,2025-01-30,2462.35,PM04,Completed
PAY000166,ACC00144,2024-04-28,1994.79,PM01,Completed
PAY000167,ACC00145,2024-02-13,4559.52,PM03,Failed
PAY000168,ACC00146,2024-07-05,2746.28,PM02,Failed
PAY000169,ACC00147,2025-10-27,4574.86,PM02,Completed
PAY000170,ACC00148,2025-06-17,1319.3,PM01,Failed
PAY000171,ACC00149,2025-11-30,568.97,PM02,Completed
PAY000172,ACC00149,2025-04-17,4463.64,PM06,Completed
PAY000173,ACC00150,2025-10-12,1364.72,PM05,Completed
PAY000174,ACC00151,2024-05-07,2756.97,PM01,Completed
PAY000175,ACC00151,2024-05-18,1357.09,PM02,Completed
PAY000176,ACC00151,2025-05-13,4671.45,PM02,Completed
PAY000177,ACC00152,2024-04-14,1389.41,PM02,Completed
PAY000178,ACC00154,2024-08-23,4636.5,PM02,Completed
PAY000179,ACC00154,2025-08-12,2121.03,PM02,Completed
PAY000180,ACC00155,2025-11-06,3475.67,PM04,Completed
PAY000181,ACC00158,2024-10-11,3838.04,PM05,Completed
PAY000182,ACC00159,2024-12-25,4164.23,PM01,Completed
PAY000183,ACC00159,2024-12-02,722.13,PM02,Failed
PAY000184,ACC00160,2025-04-09,3226.93,PM02,Completed
PAY000185,ACC00161,2025-07-20,3954.74,PM06,Reversed
PAY000186,ACC00162,2024-10-04,223.82,PM04,Completed
PAY000187,ACC00162,2024-11-08,3812.03,PM05,Completed
PAY000188,ACC00163,2025-06-03,2243.78,PM02,Completed
PAY000189,ACC00163,2025-01-02,1208.48,PM06,Completed
PAY000190,ACC00163,2025-02-18,118.93,PM02,Completed
PAY000191,ACC00164,2024-08-26,3132.31,PM03,Completed
PAY000192,ACC00166,2024-07-16,2124.7,PM02,Completed
PAY000193,ACC00166,2024-01-24,709.54,PM01,Completed
PAY000194,ACC00166,2024-09-27,4622.96,PM04,Reversed
PAY000195,ACC00168,2024-08-26,3634.6,PM04,Completed
PAY000196,ACC00168,2024-12-30,1379.23,PM02,Completed
PAY000197,ACC00169,2024-01-21,3462.86,PM01,Completed
PAY000198,ACC00170,2024-10-05,1390.08,PM01,Completed
PAY000199,ACC00170,2024-09-02,344.51,PM04,Completed
PAY000200,ACC00171,2025-09-22,4621.8,PM02,Reversed
PAY000201,ACC00173,2025-04-21,2812.2,PM01,Completed
PAY000202,ACC00175,2024-09-18,1063.2,PM04,Completed
PAY000203,ACC00178,2024-11-01,119.24,PM04,Completed
PAY000204,ACC00179,2025-10-23,543.41,PM03,Completed
PAY000205,ACC00179,2025-06-30,1002.47,PM04,Completed
PAY000206,ACC00180,2025-03-17,298.79,PM01,Completed
PAY000207,ACC00182,2025-04-04,4674.54,PM03,Completed
PAY000208,ACC00185,2024-08-30,3621.14,PM02,Failed
PAY000209,ACC00187,2025-02-23,99.38,PM06,Completed
PAY000210,ACC00188,2025-09-11,2499.92,PM02,Completed
PAY000211,ACC00190,2025-07-30,2333.9,PM06,Completed
PAY000212,ACC00190,2025-09-22,3904.53,PM02,Completed
PAY000213,ACC00190,2025-11-01,590.33,PM02,Completed
PAY000214,ACC00191,2025-01-24,2389.44,PM02,Completed
PAY000215,ACC00193,2024-05-25,4126.96,PM01,Completed
PAY000216,ACC00194,2024-10-13,4994.03,PM03,Completed
PAY000217,ACC00197,2024-03-11,1321.33,PM02,Completed
PAY000218,ACC00197,2024-09-07,766.26,PM02,Reversed
PAY000219,ACC00198,2024-11-04,4516.84,PM02,Completed
PAY000220,ACC00201,2024-01-16,4561.28,PM01,Completed
PAY000221,ACC00202,2024-03-25,4685.77,PM01,Completed
PAY000222,ACC00203,2025-08-20,2258.08,PM02,Completed
PAY000223,ACC00203,2025-04-30,161.89,PM04,Completed
PAY000224,ACC00204,2025-03-06,517.15,PM03,Completed
PAY000225,ACC00205,2025-04-26,3033.26,PM02,Completed
PAY000226,ACC00205,2024-11-03,4854.84,PM03,Completed
PAY000227,ACC00205,2024-05-17,3475.61,PM02,Completed
PAY000228,ACC00206,2024-12-25,573.56,PM01,Completed
PAY000229,ACC00207,2024-04-23,2928.14,PM02,Failed
PAY000230,ACC00208,2024-06-23,2052.79,PM04,Completed
PAY000231,ACC00208,2024-10-19,4430.24,PM03,Failed
PAY000232,ACC00209,2025-07-23,4904.29,PM02,Failed
PAY000233,ACC00210,2024-05-09,341.0,PM01,Completed
PAY000234,ACC00212,2024-11-15,3758.55,PM02,Completed
PAY000235,ACC00213,2025-11-04,2844.55,PM02,Completed
PAY000236,ACC00214,2025-05-17,696.62,PM02,Failed
PAY000237,ACC00215,2024-02-14,3644.19,PM01,Completed
PAY000238,ACC00216,2024-07-25,3145.37,PM02,Reversed
PAY000239,ACC00217,2024-11-29,1381.63,PM06,Completed
PAY000240,ACC00217,2025-03-23,243.41,PM02,Failed
PAY000241,ACC00219,2025-06-24,978.08,PM02,Completed
PAY000242,ACC00220,2024-01-10,1036.54,PM01,Reversed
PAY000243,ACC00220,2025-05-18,4337.79,PM03,Completed
PAY000244,ACC00221,2024-12-02,1128.13,PM01,Completed
PAY000245,ACC00224,2024-09-11,4970.62,PM04,Completed
PAY000246,ACC00225,2025-08-30,2604.98,PM01,Completed
PAY000247,ACC00226,2025-08-04,639.6,PM06,Completed
PAY000248,ACC00227,2024-01-24,507.11,PM02,Failed
PAY000249,ACC00227,2025-08-04,4110.98,PM04,Completed
PAY000250,ACC00229,2025-04-12,2683.07,PM03,Completed
PAY000251,ACC00230,2025-04-15,1971.61,PM03,Completed
PAY000252,ACC00230,2025-07-08,2739.47,PM04,Completed
PAY000253,ACC00231,2024-03-25,2760.69,PM05,Failed
PAY000254,ACC00231,2025-05-06,251.12,PM06,Completed
PAY000255,ACC00233,2025-08-26,1282.75,PM02,Completed
PAY000256,ACC00236,2025-04-01,4417.78,PM01,Completed
PAY000257,ACC00236,2024-11-21,3246.52,PM01,Completed
PAY000258,ACC00237,2024-12-03,4816.12,PM02,Completed
PAY000259,ACC00238,2024-01-19,4246.93,PM01,Completed
PAY000260,ACC00240,2024-11-27,2085.02,PM04,Completed
PAY000261,ACC00241,2025-01-19,1289.4,PM05,Completed
PAY000262,ACC00242,2024-10-06,783.94,PM04,Completed
PAY000263,ACC00246,2024-01-17,2718.42,PM04,Completed
PAY000264,ACC00246,2024-04-03,731.98,PM03,Completed
PAY000265,ACC00247,2025-04-02,4842.32,PM02,Completed
PAY000266,ACC00249,2024-05-24,4441.85,PM01,Completed
PAY000267,ACC00249,2025-05-23,722.92,PM02,Completed
PAY000268,ACC00250,2025-01-02,1592.29,PM03,Completed
PAY000269,ACC00251,2024-08-15,91.69,PM02,Completed
PAY000270,ACC00251,2024-03-30,3869.37,PM01,Completed
PAY000271,ACC00251,2024-05-22,2767.31,PM02,Completed
PAY000272,ACC00252,2024-03-12,4874.04,PM03,Completed
PAY000273,ACC00253,2024-01-19,2018.03,PM02,Failed
PAY000274,ACC00254,2024-03-03,324.14,PM02,Completed
PAY000275,ACC00254,2025-03-12,682.54,PM02,Completed
PAY000276,ACC00255,2024-05-26,3630.86,PM02,Completed
PAY000277,ACC00256,2024-06-28,2860.6,PM01,Failed
PAY000278,ACC00256,2025-10-04,669.21,PM02,Completed
PAY000279,ACC00257,2024-09-27,107.07,PM05,Completed
PAY000280,ACC00258,2025-03-21,4083.74,PM04,Completed
PAY000281,ACC00258,2024-09-21,4854.69,PM02,Completed
PAY000282,ACC00259,2024-06-30,2123.86,PM04,Reversed
PAY000283,ACC00260,2025-10-11,174.51,PM02,Failed
PAY000284,ACC00261,2024-12-06,3609.93,PM01,Completed
PAY000285,ACC00262,2024-07-28,4234.45,PM06,Completed
PAY000286,ACC00262,2024-09-22,2138.19,PM01,Completed
PAY000287,ACC00263,2025-02-23,1623.36,PM02,Completed
PAY000288,ACC00265,2025-04-14,2292.66,PM03,Completed
PAY000289,ACC00267,2025-03-04,1787.86,PM03,Completed
PAY000290,ACC00268,2025-02-13,1416.51,PM06,Failed
PAY000291,ACC00270,2025-03-28,2751.6,PM04,Completed
PAY000292,ACC00270,2025-06-06,3136.55,PM04,Completed
PAY000293,ACC00270,2025-04-29,840.24,PM02,Completed
PAY000294,ACC00272,2024-01-16,588.82,PM01,Reversed
PAY000295,ACC00273,2025-05-27,4869.09,PM02,Reversed
PAY000296,ACC00275,2024-10-05,1570.83,PM04,Completed
PAY000297,ACC00276,2025-01-22,796.54,PM02,Failed
PAY000298,ACC00277,2025-10-14,3704.36,PM02,Completed
PAY000299,ACC00278,2024-12-31,135.1,PM02,Completed
PAY000300,ACC00279,2024-10-10,485.31,PM04,Completed
PAY000301,ACC00281,2025-09-19,2774.63,PM02,Completed
PAY000302,ACC00282,2025-04-19,2173.72,PM01,Failed
PAY000303,ACC00283,2024-12-11,2527.19,PM03,Completed
PAY000304,ACC00284,2024-07-02,1422.28,PM03,Completed
PAY000305,ACC00284,2025-03-05,2055.5,PM02,Reversed
PAY000306,ACC00285,2024-01-19,548.74,PM02,Completed
PAY000307,ACC00285,2024-02-14,4396.91,PM01,Completed
PAY000308,ACC00286,2025-11-03,3644.73,PM03,Completed
PAY000309,ACC00287,2024-01-31,1589.23,PM01,Completed
PAY000310,ACC00288,2025-06-24,1236.6,PM02,Failed
PAY000311,ACC00288,2024-05-25,4367.86,PM01,Completed
PAY000312,ACC00289,2024-02-29,3509.39,PM01,Completed
PAY000313,ACC00291,2025-08-29,295.02,PM03,Failed
PAY000314,ACC00293,2024-01-14,2400.48,PM01,Failed
PAY000315,ACC00296,2024-04-11,3278.55,PM02,Completed
PAY000316,ACC00297,2024-04-17,4426.33,PM04,Completed
PAY000317,ACC00299,2024-12-29,3768.72,PM03,Completed
PAY000318,ACC00299,2024-02-22,2930.08,PM03,Completed
PAY000319,ACC00299,2024-10-18,4116.3,PM04,Completed
PAY000320,ACC00300,2025-01-08,431.35,PM05,Completed
PAY000321,ACC00301,2024-12-14,3545.54,PM01,Completed
PAY000322,ACC00301,2024-01-24,2666.0,PM02,Completed
PAY000323,ACC00301,2025-03-30,731.13,PM02,Completed
PAY000324,ACC00302,2024-02-27,4730.19,PM03,Completed
PAY000325,ACC00305,2024-04-23,4182.21,PM04,Completed
PAY000326,ACC00307,2025-09-02,4939.83,PM04,Completed
PAY000327,ACC00308,2025-05-17,2451.57,PM04,Completed
PAY000328,ACC00309,2024-02-11,4323.29,PM02,Completed
PAY000329,ACC00309,2024-01-08,123.88,PM01,Completed
PAY000330,ACC00310,2025-07-16,4342.3,PM02,Completed
PAY000331,ACC00310,2025-05-27,1321.62,PM01,Completed
PAY000332,ACC00311,2024-07-17,4387.88,PM04,Completed
PAY000333,ACC00311,2024-07-09,1983.98,PM01,Failed
PAY000334,ACC00313,2025-09-08,1794.44,PM03,Completed
PAY000335,ACC00313,2025-04-11,148.62,PM02,Completed
PAY000336,ACC00313,2025-03-29,2212.81,PM03,Completed
PAY000337,ACC00314,2024-09-08,4661.01,PM02,Reversed
PAY000338,ACC00315,2024-05-25,621.43,PM01,Completed
PAY000339,ACC00316,2024-11-01,71.84,PM04,Completed
PAY000340,ACC00317,2024-08-10,4708.03,PM01,Completed
PAY000341,ACC00317,2025-10-26,3919.76,PM02,Completed
PAY000342,ACC00317,2024-10-15,3489.45,PM04,Completed
PAY000343,ACC00318,2024-08-15,4283.63,PM02,Completed
PAY000344,ACC00319,2024-08-13,580.33,PM01,Completed
PAY000345,ACC00320,2024-03-17,1181.73,PM04,Completed
PAY000346,ACC00322,2024-03-13,3830.07,PM02,Completed
PAY000347,ACC00323,2025-02-01,3981.23,PM03,Completed
PAY000348,ACC00323,2024-08-24,4319.38,PM03,Failed
PAY000349,ACC00324,2025-07-17,134.53,PM01,Completed
PAY000350,ACC00326,2025-05-25,819.57,PM02,Completed
PAY000351,ACC00326,2025-06-01,2151.21,PM04,Completed
PAY000352,ACC00327,2024-11-23,1638.71,PM02,Completed
PAY000353,ACC00327,2024-04-23,4533.87,PM01,Completed
PAY000354,ACC00327,2025-05-19,1209.34,PM02,Completed
PAY000355,ACC00328,2025-07-30,1843.29,PM02,Completed
PAY000356,ACC00330,2025-10-16,3012.86,PM01,Completed
PAY000357,ACC00330,2024-06-13,809.87,PM01,Completed
PAY000358,ACC00331,2025-03-21,1880.57,PM04,Failed
PAY000359,ACC00331,2024-10-13,749.66,PM02,Completed
PAY000360,ACC00332,2025-03-28,352.67,PM01,Completed
PAY000361,ACC00333,2024-05-05,3785.76,PM02,Failed
PAY000362,ACC00334,2025-10-18,3627.17,PM04,Completed
PAY000363,ACC00335,2025-05-13,2673.88,PM02,Reversed
PAY000364,ACC00336,2025-03-28,1543.48,PM02,Completed
PAY000365,ACC00336,2024-11-28,1947.45,PM03,Completed
PAY000366,ACC00339,2025-02-07,780.13,PM03,Completed
PAY000367,ACC00340,2025-07-22,276.18,PM02,Completed
PAY000368,ACC00341,2024-09-13,4467.22,PM01,Completed
PAY000369,ACC00342,2024-05-27,4182.43,PM02,Completed
PAY000370,ACC00343,2024-12-12,4608.19,PM01,Completed
PAY000371,ACC00344,2024-05-21,4470.93,PM02,Completed
PAY000372,ACC00345,2025-05-31,2061.86,PM04,Completed
PAY000373,ACC00346,2024-01-31,4683.83,PM04,Completed
PAY000374,ACC00347,2025-08-28,3484.91,PM03,Completed
PAY000375,ACC00347,2025-01-14,1766.92,PM04,Completed
PAY000376,ACC00347,2024-01-27,3039.72,PM03,Failed
PAY000377,ACC00349,2025-03-04,1670.49,PM03,Reversed
PAY000378,ACC00350,2025-03-15,1605.64,PM06,Completed
PAY000379,ACC00350,2025-11-29,2278.65,PM03,Completed
PAY000380,ACC00351,2025-05-27,3567.87,PM02,Completed
PAY000381,ACC00351,2024-12-18,431.02,PM02,Completed
PAY000382,ACC00352,2024-01-29,1335.38,PM01,Completed
PAY000383,ACC00352,2024-07-04,3760.42,PM02,Failed
PAY000384,ACC00354,2024-07-03,4721.28,PM01,Completed
PAY000385,ACC00354,2024-05-30,421.31,PM02,Completed
PAY000386,ACC00355,2025-01-14,3053.4,PM03,Completed
PAY000387,ACC00356,2024-04-19,1507.91,PM02,Completed
PAY000388,ACC00356,2025-09-23,1480.3,PM04,Completed
PAY000389,ACC00356,2025-07-19,210.29,PM02,Completed
PAY000390,ACC00359,2025-08-15,4042.03,PM01,Completed
PAY000391,ACC00361,2025-02-27,3983.83,PM06,Reversed
PAY000392,ACC00361,2024-01-15,1367.4,PM01,Reversed
PAY000393,ACC00362,2024-10-02,2140.4,PM02,Completed
PAY000394,ACC00365,2024-01-20,447.91,PM05,Failed
PAY000395,ACC00366,2025-04-01,1745.05,PM04,Completed
PAY000396,ACC00366,2024-01-12,1031.51,PM05,Completed
PAY000397,ACC00366,2024-07-08,1306.34,PM02,Completed
PAY000398,ACC00367,2025-08-14,4051.28,PM01,Completed
PAY000399,ACC00369,2025-03-30,2798.27,PM02,Completed
PAY000400,ACC00370,2025-07-30,4651.66,PM01,Completed
PAY000401,ACC00371,2024-06-09,3083.1,PM04,Completed
PAY000402,ACC00372,2024-11-28,3703.89,PM01,Completed
PAY000403,ACC00372,2024-08-18,4956.97,PM01,Completed
PAY000404,ACC00372,2025-05-20,842.32,PM01,Failed
PAY000405,ACC00373,2025-01-31,1527.4,PM01,Completed
PAY000406,ACC00374,2025-03-15,3606.71,PM01,Failed
PAY000407,ACC00374,2025-04-08,899.65,PM02,Completed
PAY000408,ACC00375,2025-07-20,1066.77,PM03,Completed
PAY000409,ACC00375,2025-05-15,2952.6,PM02,Completed
PAY000410,ACC00377,2025-06-01,4089.52,PM04,Completed
PAY000411,ACC00377,2025-03-04,3780.01,PM03,Reversed
PAY000412,ACC00378,2024-01-23,3342.28,PM01,Completed
PAY000413,ACC00378,2024-04-15,900.2,PM02,Failed
PAY000414,ACC00382,2024-11-02,211.24,PM04,Completed
PAY000415,ACC00383,2025-08-09,908.1,PM05,Completed
PAY000416,ACC00385,2024-09-10,880.47,PM01,Completed
PAY000417,ACC00385,2025-01-01,1902.49,PM01,Completed
PAY000418,ACC00385,2025-10-29,4868.46,PM04,Completed
PAY000419,ACC00387,2024-08-19,3991.26,PM06,Completed
PAY000420,ACC00387,2025-11-30,2053.86,PM04,Completed
PAY000421,ACC00388,2025-07-21,3927.67,PM04,Completed
PAY000422,ACC00389,2024-09-08,4256.52,PM01,Completed
PAY000423,ACC00390,2024-06-16,4068.64,PM02,Completed
PAY000424,ACC00392,2025-07-05,675.31,PM06,Completed
PAY000425,ACC00393,2024-10-02,4404.53,PM04,Completed
PAY000426,ACC00393,2024-02-28,3012.3,PM02,Completed
PAY000427,ACC00393,2024-11-16,3093.2,PM05,Completed
PAY000428,ACC00394,2024-04-30,2037.37,PM01,Reversed
PAY000429,ACC00394,2024-03-18,1889.89,PM02,Completed
PAY000430,ACC00394,2024-06-12,952.15,PM01,Completed
PAY000431,ACC00395,2024-10-01,4513.35,PM03,Completed
PAY000432,ACC00395,2024-12-16,2950.49,PM03,Completed
PAY000433,ACC00397,2024-08-22,3626.61,PM01,Completed
PAY000434,ACC00399,2024-10-07,4272.58,PM02,Completed
PAY000435,ACC00400,2025-02-12,4533.25,PM02,Completed
PAY000436,ACC00401,2025-09-27,3843.94,PM02,Completed
PAY000437,ACC00401,2024-01-28,3316.23,PM01,Completed
