promise_id,account_id,agent_id,promise_date,promise_amount,due_date,promise_status
PROM000042,ACC00765,A003,2024-02-04,1029.09,2025-01-01,Broken
PROM000043,ACC00500,A008,2024-08-02,2006.33,2025-03-03,Fulfilled
PROM000044,ACC00500,A003,2025-05-08,1138.52,2024-04-23,Broken
PROM000045,ACC00602,A008,2024-06-28,350.16,2025-01-22,Fulfilled
PROM000046,ACC00633,A008,2024-10-15,3797.3,2025-08-13,Pending
PROM000047,ACC00633,A005,2025-01-07,1333.78,2024-04-07,Broken
PROM000048,ACC00633,A006,2025-04-08,1829.27,2024-12-30,Broken
PROM000049,ACC00131,A006,2024-10-31,644.03,2025-06-14,Broken
PROM000050,ACC00702,A002,2025-09-10,3283.85,2025-08-10,Pending
PROM000051,ACC00764,A006,2024-04-16,2969.67,2024-04-15,Pending
PROM000052,ACC00090,A006,2024-09-12,390.81,2024-08-25,Broken
PROM000053,ACC00395,A001,2024-10-20,2631.14,2025-03-06,Broken
PROM000054,ACC00275,A010,2025-02-27,2223.92,2025-06-28,Fulfilled
PROM000055,ACC00359,A004,2024-08-02,1110.79,2024-03-10,Pending
PROM000056,ACC00493,A006,2024-03-02,2085.67,2024-06-30,Broken
PROM000057,ACC00332,A006,2024-09-11,1569.61,2025-10-02,Fulfilled
PROM000058,ACC00182,A004,2024-07-30,1272.55,2025-07-07,Broken
PROM000059,ACC00182,A006,2025-01-03,1863.07,2024-05-21,Fulfilled
PROM000060,ACC00769,A009,2024-11-20,3760.41,2024-12-11,Broken
PROM000061,ACC00354,A001,2025-02-16,3313.16,2024-07-15,Broken
PROM000062,ACC00354,A003,2024-07-26,1909.55,2024-06-19,Pending
PROM000063,ACC00296,A009,2025-06-21,3646.17,2025-02-03,Broken
PROM000064,ACC00664,A003,2025-04-18,3815.43,2024-09-13,Broken
PROM000065,ACC00184,A009,2025-10-09,1443.72,2025-04-25,Fulfilled
PROM000066,ACC00184,A008,2024-10-12,3033.19,2025-04-25,Broken
PROM000067,ACC00184,A010,2024-07-08,3964.42,2025-02-27,Broken
PROM000068,ACC00735,A010,2024-05-05,3810.55,2025-09-17,Fulfilled
PROM000069,ACC00515,A001,2024-06-28,3481.46,2024-08-16,Fulfilled
PROM000070,ACC00788,A010,2025-02-05,1077.75,2024-07-08,Fulfilled
PROM000071,ACC00788,A006,2024-04-07,1535.42,2025-05-28,Fulfilled
PROM000072,ACC00792,A009,2025-07-06,3600.41,2025-09-19,Fulfilled
PROM000073,ACC00207,A001,2024-09-01,299.55,2024-03-28,Fulfilled
PROM000074,ACC00207,A001,2024-08-25,891.8,2024-12-21,Fulfilled
PROM000075,ACC00129,A004,2025-06-01,1372.9,2024-06-03,Fulfilled
PROM000076,ACC00129,A008,2024-11-06,2360.33,2025-09-19,Fulfilled
PROM000077,ACC00129,A002,2025-07-13,1763.87,2025-01-24,Fulfilled
PROM000078,ACC00576,A002,2025-08-21,859.33,2025-03-23,Broken
PROM000079,ACC00576,A003,2025-01-10,3416.69,2024-03-02,Broken
PROM000080,ACC00410,A004,2025-07-03,1262.42,2024-11-17,Fulfilled
PROM000081,ACC00502,A001,2025-06-20,2348.82,2025-07-05,Fulfilled
PROM000082,ACC00704,A010,2025-07-11,3186.55,2025-03-25,Fulfilled
PROM000083,ACC00704,A004,2024-10-23,1632.43,2025-02-08,Broken
PROM000084,ACC00750,A009,2024-07-26,1244.7,2024-09-06,Fulfilled
PROM000085,ACC00347,A003,2025-04-25,2105.18,2024-06-10,Broken
PROM000086,ACC00093,A001,2024-07-31,2110.71,2025-02-18,Fulfilled
PROM000087,ACC00364,A002,2025-05-26,1789.12,2024-10-15,Broken
PROM000088,ACC00364,A004,2024-09-02,3447.95,2024-09-17,Pending
PROM000089,ACC00697,A002,2024-08-22,1613.94,2024-04-07,Fulfilled
PROM000090,ACC00697,A003,2024-08-28,2144.23,2025-01-19,Fulfilled
PROM000091,ACC00054,A001,2024-11-21,2180.35,2024-11-09,Fulfilled
PROM000092,ACC00781,A010,2025-09-22,1472.78,2025-01-22,Fulfilled
PROM000093,ACC00401,A005,2024-04-16,2155.49,2025-10-11,Fulfilled
PROM000094,ACC00401,A007,2024-03-22,3015.08,2024-02-07,Fulfilled
PROM000095,ACC00534,A001,2024-03-02,1255.16,2024-07-06,Pending
PROM000096,ACC00534,A008,2025-08-28,1121.2,2024-01-19,Broken
PROM000097,ACC00521,A010,2024-07-23,513.21,2025-06-07,Pending
PROM000098,ACC00521,A005,2025-01-23,383.11,2024-05-17,Pending
PROM000099,ACC00072,A009,2025-02-02,1222.77,2025-10-03,Broken
PROM000100,ACC00356,A007,2024-08-14,1461.67,2024-05-31,Pending
PROM000101,ACC00356,A004,2024-06-30,3119.33,2024-10-07,Fulfilled
PROM000102,ACC00356,A005,2025-08-08,3403.84,2024-07-18,Fulfilled
PROM000103,ACC00368,A001,2024-03-19,2779.37,2024-03-10,Broken
PROM000104,ACC00480,A003,2025-09-23,1051.14,2025-06-12,Fulfilled
PROM000105,ACC00480,A001,2024-01-27,3378.08,2024-12-20,Broken
PROM000106,ACC00113,A004,2024-04-06,3727.36,2024-09-15,Broken
PROM000107,ACC00710,A005,2024-05-04,1874.82,2025-05-26,Broken
PROM000108,ACC00710,A002,2024-11-20,765.75,2024-12-31,Fulfilled
PROM000109,ACC00333,A010,2025-07-19,793.32,2024-06-18,Fulfilled
PROM000110,ACC00333,A009,2024-01-06,381.68,2024-07-03,Broken
PROM000111,ACC00333,A006,2024-07-04,640.9,2024-02-18,Broken
PROM000112,ACC00374,A003,2025-02-05,1726.52,2025-07-14,Fulfilled
PROM000113,ACC00374,A001,2025-03-16,3419.05,2024-06-19,Fulfilled
PROM000114,ACC00426,A003,2025-05-03,1186.37,2024-08-21,Pending
PROM000115,ACC00426,A010,2025-09-06,1251.85,2024-03-05,Fulfilled
PROM000116,ACC00694,A003,2024-06-21,1996.74,2025-01-09,Fulfilled
PROM000117,ACC00427,A009,2024-06-04,3845.1,2024-09-02,Broken
PROM000118,ACC00427,A004,2024-10-29,1979.14,2024-02-18,Broken
PROM000119,ACC00083,A010,2024-09-20,1137.47,2024-08-03,Broken
PROM000120,ACC00432,A001,2025-07-29,845.2,2024-12-30,Broken
PROM000121,ACC00432,A005,2024-01-27,3302.41,2025-06-19,Fulfilled
PROM000122,ACC00425,A003,2025-02-25,2404.05,2025-11-02,Fulfilled
PROM000123,ACC00574,A001,2024-11-22,3040.4,2024-01-21,Fulfilled
PROM000124,ACC00597,A006,2025-06-07,2379.75,2025-05-22,Broken
PROM000125,ACC00309,A004,2024-04-30,1919.84,2025-07-24,Fulfilled
PROM000126,ACC00309,A001,2024-06-23,1984.88,2024-04-17,Fulfilled
PROM000127,ACC00045,A010,2025-04-26,518.16,2025-08-09,Broken
PROM000128,ACC00580,A001,2024-05-07,215.29,2025-05-11,Pending
PROM000129,ACC00246,A009,2024-12-31,2782.44,2025-02-07,Broken
PROM000130,ACC00246,A008,2025-06-26,3041.82,2025-02-09,Fulfilled
PROM000131,ACC00431,A007,2024-10-11,3787.95,2025-09-05,Fulfilled
PROM000132,ACC00245,A001,2024-08-12,3093.2,2025-02-07,Fulfilled
PROM000133,ACC00398,A001,2025-04-26,2277.48,2024-09-26,Fulfilled
PROM000134,ACC00398,A009,2025-07-10,2417.43,2024-01-02,Fulfilled
PROM000135,ACC00257,A003,2024-06-06,3183.02,2024-12-30,Pending
PROM000136,ACC00418,A005,2025-08-22,942.19,2025-10-02,Fulfilled
PROM000137,ACC00418,A001,2024-09-09,633.26,2025-01-08,Fulfilled
PROM000138,ACC00655,A006,2024-12-02,616.35,2025-05-09,Pending
PROM000139,ACC00655,A009,2025-03-16,3747.75,2025-03-04,Broken
PROM000140,ACC00015,A008,2024-04-11,2140.64,2025-03-13,Fulfilled
PROM000141,ACC00350,A009,2024-06-02,361.52,2024-09-24,Pending
PROM000142,ACC00583,A003,2025-05-14,2478.28,2025-01-29,Pending
PROM000143,ACC00380,A004,2025-06-11,144.55,2024-08-23,Broken
PROM000144,ACC00380,A006,2025-10-01,629.03,2025-01-01,Fulfilled
PROM000145,ACC00322,A009,2025-02-10,3928.57,2024-02-12,Broken
PROM000146,ACC00322,A009,2024-07-11,3363.06,2024-07-04,Broken
PROM000147,ACC00123,A005,2024-10-24,2515.67,2024-01-31,Fulfilled
PROM000148,ACC00123,A005,2025-09-08,1875.66,2025-05-15,Pending
PROM000149,ACC00776,A008,2025-05-16,3439.23,2024-07-25,Broken
PROM000150,ACC00120,A007,2025-08-25,1889.4,2025-09-22,Fulfilled
PROM000151,ACC00074,A007,2024-11-13,3908.98,2025-01-08,Pending
PROM000152,ACC00225,A007,2025-05-05,466.96,2025-04-06,Fulfilled
PROM000153,ACC00213,A008,2024-07-24,901.82,2024-09-13,Fulfilled
PROM000154,ACC00213,A010,2025-02-15,476.63,2025-07-08,Pending
PROM000155,ACC00213,A001,2024-02-22,1244.02,2025-06-15,Pending
PROM000156,ACC00768,A005,2025-05-23,3572.59,2024-11-17,Fulfilled
PROM000157,ACC00343,A009,2024-06-14,2674.92,2024-04-16,Pending
PROM000158,ACC00723,A007,2025-04-09,3816.26,2024-03-10,Broken
PROM000159,ACC00193,A008,2024-04-13,806.05,2025-01-31,Fulfilled
PROM000160,ACC00192,A005,2024-11-11,2198.31,2024-03-12,Fulfilled
PROM000161,ACC00135,A002,2025-07-23,3769.47,2025-03-05,Fulfilled
PROM000162,ACC00268,A002,2025-05-03,2257.59,2024-06-12,Broken
PROM000163,ACC00381,A008,2025-08-23,3056.75,2024-04-30,Fulfilled
PROM000164,ACC00077,A003,2025-06-30,1107.19,2025-06-05,Fulfilled
PROM000165,ACC00077,A007,2025-08-19,200.75,2024-03-06,Broken
PROM000166,ACC00524,A009,2024-04-12,3135.71,2024-12-22,Broken
PROM000167,ACC00153,A001,2024-07-16,2854.01,2025-04-21,Broken
PROM000168,ACC00153,A007,2024-10-11,892.49,2024-08-07,Broken
PROM000169,ACC00383,A008,2025-01-12,185.01,2025-08-02,Fulfilled
PROM000170,ACC00405,A005,2025-03-21,2235.0,2025-09-29,Pending
PROM000171,ACC00405,A001,2024-04-07,118.63,2024-10-04,Broken
PROM000172,ACC00622,A006,2024-10-05,1700.16,2024-02-07,Broken
PROM000173,ACC00622,A002,2024-06-01,298.57,2024-09-01,Broken
PROM000174,ACC00414,A010,2024-02-11,1996.44,2025-03-31,Broken
PROM000175,ACC00069,A009,2025-06-20,2062.88,2024-06-14,Fulfilled
PROM000176,ACC00608,A004,2024-11-08,2996.3,2024-06-06,Broken
PROM000177,ACC00608,A010,2024-09-21,3309.05,2025-08-25,Broken
PROM000178,ACC00799,A010,2025-01-18,1973.72,2024-04-27,Broken
PROM000179,ACC00084,A006,2025-02-24,3967.97,2025-02-21,Broken
PROM000180,ACC00149,A008,2025-01-10,3361.63,2025-06-04,Pending
PROM000181,ACC00657,A001,2024-09-06,3374.08,2025-05-10,Pending
PROM000182,ACC00657,A003,2024-11-26,1482.96,2024-07-11,Pending
PROM000183,ACC00440,A008,2024-02-26,1892.4,2025-03-16,Broken
PROM000184,ACC00440,A007,2025-07-25,107.89,2024-11-27,Fulfilled
PROM000185,ACC00582,A001,2025-05-01,1103.02,2024-10-23,Pending
PROM000186,ACC00582,A001,2024-06-10,282.29,2024-12-24,Fulfilled
PROM000187,ACC00462,A008,2024-04-11,1912.91,2025-02-22,Broken
PROM000188,ACC00320,A003,2024-01-01,3537.25,2025-03-24,Fulfilled
PROM000189,ACC00572,A004,2025-04-24,2991.03,2024-04-15,Fulfilled
PROM000190,ACC00709,A008,2025-02-24,713.41,2024-10-29,Fulfilled
PROM000191,ACC00594,A009,2024-01-25,2553.39,2024-10-28,Fulfilled
PROM000192,ACC00594,A003,2025-05-13,3738.4,2025-02-20,Broken
PROM000193,ACC00498,A006,2025-03-24,1316.84,2024-02-05,Fulfilled
PROM000194,ACC00567,A004,2025-02-09,2340.76,2025-10-17,Pending
PROM000195,ACC00567,A007,2024-11-22,1163.57,2025-06-06,Fulfilled
PROM000196,ACC00567,A001,2025-05-09,3322.03,2024-05-09,Fulfilled
PROM000197,ACC00312,A001,2025-04-23,2760.01,2025-06-08,Fulfilled
PROM000198,ACC00539,A002,2024-01-22,1349.06,2025-02-04,Broken
PROM000199,ACC00494,A003,2024-12-25,1632.2,2024-02-03,Broken
PROM000200,ACC00494,A010,2024-03-07,3496.31,2024-08-31,Fulfilled
PROM000201,ACC00585,A001,2024-04-05,3280.6,2024-05-18,Fulfilled
PROM000202,ACC00520,A006,2025-01-28,1217.3,2025-03-25,Fulfilled
PROM000203,ACC00520,A003,2024-01-05,1183.09,2024-11-28,Fulfilled
PROM000204,ACC00643,A005,2024-04-26,962.89,2025-02-25,Pending
PROM000205,ACC00643,A009,2024-08-17,3007.11,2024-06-19,Pending
PROM000206,ACC00681,A006,2025-04-22,2260.68,2025-07-17,Broken
PROM000207,ACC00681,A009,2024-03-10,224.89,2024-09-02,Pending
PROM000208,ACC00681,A002,2024-12-06,971.95,2025-04-08,Fulfilled
PROM000209,ACC00419,A009,2025-03-30,1600.91,2025-07-25,Broken
PROM000210,ACC00419,A003,2024-12-31,1694.17,2024-12-06,Pending
PROM000211,ACC00203,A006,2024-01-31,2695.82,2025-03-27,Fulfilled
PROM000212,ACC00088,A003,2024-01-09,2529.29,2025-01-07,Pending
PROM000213,ACC00088,A009,2025-01-17,2021.58,2024-02-06,Broken
PROM000214,ACC00088,A004,2024-09-30,1440.32,2024-10-23,Fulfilled
PROM000215,ACC00586,A003,2025-08-19,3737.83,2025-07-13,Broken
PROM000216,ACC00586,A003,2024-11-21,3509.6,2025-07-28,Fulfilled
PROM000217,ACC00436,A003,2025-03-17,1405.43,2024-01-26,Fulfilled
PROM000218,ACC00230,A010,2025-01-09,3502.97,2024-03-30,Broken
PROM000219,ACC00060,A004,2025-01-06,1951.03,2024-03-18,Pending
PROM000220,ACC00730,A003,2025-08-25,1871.94,2024-12-08,Fulfilled
PROM000221,ACC00166,A001,2024-09-14,2709.25,2024-12-08,Broken
PROM000222,ACC00507,A002,2025-05-19,869.7,2025-03-09,Broken
PROM000223,ACC00507,A007,2024-10-02,1181.2,2025-03-02,Broken
PROM000224,ACC00659,A007,2024-11-23,3103.08,2024-06-01,Pending
PROM000225,ACC00053,A005,2024-05-24,3621.5,2024-05-10,Pending
PROM000226,ACC00267,A001,2024-02-10,518.12,2025-06-06,Fulfilled
PROM000227,ACC00267,A008,2025-06-24,381.98,2024-04-20,Fulfilled
PROM000228,ACC00210,A009,2024-10-06,2444.25,2024-02-14,Broken
PROM000229,ACC00399,A005,2024-09-14,2259.83,2024-09-09,Fulfilled
PROM000230,ACC00399,A009,2024-05-02,528.87,2024-05-19,Pending
PROM000231,ACC00399,A001,2025-09-07,2132.66,2024-09-12,Fulfilled
PROM000232,ACC00661,A010,2025-06-11,3503.23,2025-07-08,Pending
PROM000233,ACC00188,A005,2025-06-04,162.71,2024-02-12,Broken
PROM000234,ACC00185,A009,2024-01-26,3371.51,2024-12-14,Pending
PROM000235,ACC00650,A004,2024-02-19,1430.97,2024-12-13,Fulfilled
PROM000236,ACC00577,A003,2025-03-18,3849.58,2025-08-28,Broken
PROM000237,ACC00577,A007,2024-08-29,2316.74,2024-03-11,Fulfilled
PROM000238,ACC00081,A005,2024-05-20,3632.3,2025-10-13,Fulfilled
PROM000239,ACC00433,A002,2025-03-08,681.23,2024-09-21,Fulfilled
PROM000240,ACC00433,A004,2024-12-21,1646.5,2025-08-02,Broken
PROM000241,ACC00433,A005,2024-06-11,2525.39,2024-02-22,Broken
PROM000242,ACC00794,A006,2024-09-26,2435.39,2025-08-21,Pending
PROM000243,ACC00794,A010,2024-06-25,679.68,2025-02-02,Fulfilled
PROM000244,ACC00137,A006,2024-03-21,1727.29,2024-09-22,Broken
PROM000245,ACC00241,A007,2025-05-22,1482.25,2024-05-02,Broken
PROM000246,ACC00241,A001,2025-06-08,1213.1,2025-10-08,Fulfilled
PROM000247,ACC00005,A009,2024-12-19,2322.26,2024-02-28,Fulfilled
PROM000248,ACC00124,A005,2024-10-24,1471.67,2025-10-26,Fulfilled
PROM000249,ACC00124,A010,2025-06-25,3522.28,2025-01-29,Fulfilled
PROM000250,ACC00138,A001,2024-05-13,1939.88,2024-05-10,Pending
PROM000251,ACC00495,A007,2024-10-04,1093.23,2025-07-19,Pending
PROM000252,ACC00289,A010,2025-02-27,1519.89,2024-04-11,Pending
PROM000253,ACC00289,A009,2025-01-06,1647.76,2025-05-16,Fulfilled
PROM000254,ACC00289,A009,2025-05-31,880.3,2024-01-14,Broken
PROM000255,ACC00416,A005,2024-02-07,2570.61,2025-06-14,Fulfilled
PROM000256,ACC00601,A009,2024-05-24,1476.19,2025-10-16,Broken
PROM000257,ACC00601,A003,2025-07-12,159.19,2025-06-06,Fulfilled
PROM000258,ACC00601,A010,2025-09-18,864.96,2025-01-27,Fulfilled
PROM000259,ACC00011,A008,2025-09-04,1798.81,2025-02-28,Pending
PROM000260,ACC00114,A002,2024-09-02,3244.18,2025-02-28,Broken
PROM000261,ACC00756,A004,2024-08-24,2490.79,2024-09-17,Fulfilled
PROM000262,ACC00400,A008,2024-12-18,3356.61,2024-12-13,Broken
PROM000263,ACC00400,A003,2024-02-03,3586.67,2024-06-13,Pending
PROM000264,ACC00209,A001,2025-04-10,1739.93,2025-05-24,Fulfilled
PROM000265,ACC00111,A007,2025-01-06,2676.11,2024-01-19,Fulfilled
PROM000266,ACC00739,A006,2024-09-30,2701.09,2025-04-10,Fulfilled
PROM000267,ACC00642,A001,2024-10-15,2997.64,2024-09-09,Broken
PROM000268,ACC00741,A007,2024-09-01,3368.12,2024-05-06,Pending
PROM000269,ACC00653,A007,2025-04-24,1745.91,2025-08-09,Broken
PROM000270,ACC00653,A003,2025-05-13,3029.51,2024-09-20,Broken
PROM000271,ACC00250,A001,2024-04-09,1251.57,2024-03-22,Broken
PROM000272,ACC00250,A004,2025-07-18,2992.55,2024-08-23,Broken
PROM000273,ACC00478,A002,2024-06-26,2605.4,2025-02-07,Fulfilled
PROM000274,ACC00478,A010,2025-04-02,3036.45,2025-04-25,Broken
PROM000275,ACC00018,A006,2024-07-11,925.8,2024-10-16,Fulfilled
PROM000276,ACC00018,A005,2024-08-19,599.78,2025-09-22,Fulfilled
PROM000277,ACC00537,A003,2025-05-19,1878.35,2025-05-03,Broken
PROM000278,ACC00537,A006,2024-09-15,286.82,2025-01-05,Fulfilled
PROM000279,ACC00372,A003,2025-06-17,463.61,2025-06-22,Pending
PROM000280,ACC00372,A001,2024-10-15,986.37,2025-06-22,Fulfilled
PROM000281,ACC00372,A010,2025-01-22,3325.71,2024-07-13,Broken
PROM000282,ACC00355,A009,2025-07-01,3505.41,2025-05-15,Broken
PROM000283,ACC00355,A005,2024-06-29,1902.27,2024-01-17,Broken
PROM000284,ACC00232,A004,2025-10-02,1537.17,2025-08-24,Broken
PROM000285,ACC00232,A008,2025-05-30,318.31,2025-08-31,Fulfilled
PROM000286,ACC00232,A004,2025-01-27,2761.63,2025-08-13,Broken
PROM000287,ACC00668,A001,2024-12-14,685.83,2024-09-04,Fulfilled
PROM000288,ACC00632,A007,2024-11-20,2879.48,2024-11-13,Fulfilled
PROM000289,ACC00632,A007,2025-04-30,3009.91,2025-08-29,Pending
PROM000290,ACC00632,A002,2025-03-31,2127.29,2025-10-22,Broken
PROM000291,ACC00711,A007,2025-06-13,3010.54,2025-03-20,Fulfilled
PROM000292,ACC00711,A006,2024-03-21,2511.76,2024-08-18,Pending
PROM000293,ACC00154,A002,2024-12-01,547.59,2025-08-22,Fulfilled
PROM000294,ACC00178,A006,2025-03-24,3848.81,2024-06-26,Fulfilled
PROM000295,ACC00198,A008,2025-09-25,2000.92,2024-10-14,Broken
PROM000296,ACC00771,A010,2025-02-14,1578.38,2024-07-20,Broken
PROM000297,ACC00699,A008,2024-10-26,2747.97,2025-07-30,Pending
PROM000298,ACC00699,A009,2025-08-06,2545.47,2024-03-28,Broken
PROM000299,ACC00194,A002,2024-05-18,190.64,2024-01-21,Fulfilled
PROM000300,ACC00357,A007,2024-09-18,2704.44,2024-07-01,Broken
PROM000301,ACC00428,A006,2025-02-08,2004.93,2024-07-05,Fulfilled
PROM000302,ACC00482,A001,2024-04-20,2303.74,2024-09-16,Pending
PROM000303,ACC00212,A001,2024-04-10,2688.82,2025-10-09,Broken
PROM000304,ACC00362,A009,2024-09-28,2809.07,2025-10-08,Pending
PROM000305,ACC00503,A008,2024-10-06,3445.45,2024-06-09,Broken
PROM000306,ACC00503,A007,2024-10-27,1463.33,2025-08-26,Pending
PROM000307,ACC00503,A009,2024-05-11,873.66,2025-09-26,Fulfilled
PROM000308,ACC00466,A010,2024-12-19,1912.52,2024-04-27,Broken
PROM000309,ACC00748,A005,2024-03-06,902.12,2024-07-03,Broken
PROM000310,ACC00748,A007,2024-08-28,1906.85,2024-12-01,Fulfilled
PROM000311,ACC00734,A005,2025-05-10,3622.48,2025-05-24,Fulfilled
PROM000312,ACC00734,A006,2024-05-13,2174.93,2025-02-01,Broken
PROM000313,ACC00297,A001,2024-02-19,1268.27,2024-07-30,Broken
PROM000314,ACC00171,A001,2025-03-24,1934.22,2025-09-05,Fulfilled
PROM000315,ACC00171,A003,2025-05-03,3483.06,2024-03-17,Broken
PROM000316,ACC00733,A010,2025-02-26,2425.69,2024-03-28,Pending
PROM000317,ACC00317,A007,2024-09-27,2456.57,2025-02-07,Fulfilled
PROM000318,ACC00067,A002,2024-10-06,1891.91,2025-04-30,Fulfilled
PROM000319,ACC00002,A006,2024-06-23,1621.19,2024-10-23,Broken
PROM000320,ACC00002,A001,2025-05-27,950.29,2025-11-03,Pending
PROM000321,ACC00772,A010,2024-07-20,1549.69,2025-01-31,Pending
PROM000322,ACC00009,A007,2025-01-06,2009.52,2024-11-29,Broken
PROM000323,ACC00037,A002,2024-01-11,3009.86,2025-04-30,Pending
PROM000324,ACC00223,A010,2024-06-29,1260.39,2025-06-19,Broken
PROM000325,ACC00223,A007,2025-04-17,3021.74,2025-01-30,Fulfilled
PROM000326,ACC00164,A002,2024-03-14,1115.2,2024-07-06,Broken
PROM000327,ACC00164,A004,2025-09-14,518.54,2024-07-28,Broken
PROM000328,ACC00164,A008,2025-08-09,1401.61,2025-02-08,Fulfilled
PROM000329,ACC00481,A001,2024-09-18,2373.97,2024-08-16,Broken
PROM000330,ACC00481,A006,2024-03-06,1633.67,2025-10-06,Broken
PROM000331,ACC00621,A007,2024-08-10,883.32,2024-01-17,Fulfilled
PROM000332,ACC00621,A001,2024-05-28,1498.94,2024-04-30,Broken
PROM000333,ACC00621,A008,2024-03-20,2090.63,2025-02-02,Fulfilled
PROM000334,ACC00019,A009,2024-02-26,521.57,2024-11-03,Pending
PROM000335,ACC00019,A004,2024-07-28,3507.22,2025-10-31,Fulfilled
PROM000336,ACC00224,A004,2025-05-02,2456.97,2025-10-08,Pending
PROM000337,ACC00224,A003,2025-01-08,3085.14,2024-06-12,Broken
PROM000338,ACC00766,A008,2025-08-17,1928.37,2025-07-11,Fulfilled
PROM000339,ACC00316,A010,2025-01-04,2885.49,2024-11-01,Broken
PROM000340,ACC00612,A010,2024-04-01,1598.3,2024-07-05,Broken
PROM000341,ACC00179,A009,2024-04-08,814.01,2024-11-29,Fulfilled
PROM000342,ACC00179,A003,2025-05-04,2338.13,2024-01-10,Fulfilled
PROM000343,ACC00456,A007,2024-04-17,2086.33,2024-08-05,Pending
PROM000344,ACC00753,A002,2024-09-25,1073.88,2025-03-06,Fulfilled
PROM000345,ACC00391,A008,2025-07-02,1979.92,2024-10-21,Fulfilled
PROM000346,ACC00391,A009,2024-05-18,1137.06,2025-09-14,Pending
PROM000347,ACC00596,A006,2025-01-18,3206.34,2024-03-05,Broken
PROM000348,ACC00596,A006,2024-03-28,1410.39,2025-04-29,Fulfilled
PROM000349,ACC00725,A006,2024-06-07,3543.35,2024-08-13,Broken
PROM000350,ACC00725,A001,2025-07-13,3491.54,2024-11-26,Broken
PROM000351,ACC00575,A003,2024-07-18,3094.34,2024-01-06,Broken
PROM000352,ACC00575,A004,2025-07-14,3209.77,2024-06-30,Broken
PROM000353,ACC00235,A009,2024-05-27,2488.62,2025-07-10,Pending
PROM000354,ACC00742,A010,2024-07-17,2630.78,2024-12-25,Pending
PROM000355,ACC00626,A005,2024-06-09,3416.92,2025-02-24,Broken
PROM000356,ACC00720,A006,2025-02-26,231.93,2024-10-10,Broken
