call_id,account_id,agent_id,call_date,call_hour,day_of_week,day_name,call_result,duration_seconds
CALL0000168,ACC00069,A004,2024-05-08,19,3,Wednesday,Contacted,139
CALL0000169,ACC00069,A009,2024-01-05,18,3,Wednesday,Contacted,37
CALL0000170,ACC00070,A004,2025-04-28,10,5,Friday,Contacted,497
CALL0000171,ACC00070,A008,2025-07-22,19,6,Saturday,Wrong Number,15
CALL0000172,ACC00070,A003,2024-04-28,10,5,Friday,Contacted,356
CALL0000173,ACC00070,A001,2025-05-07,17,6,Saturday,Contacted,92
CALL0000174,ACC00071,A003,2024-03-25,10,1,Monday,Contacted,315
CALL0000175,ACC00071,A006,2024-07-17,12,2,Tuesday,Contacted,83
CALL0000176,ACC00072,A010,2025-05-10,19,5,Friday,Wrong Number,3
CALL0000177,ACC00072,A007,2025-03-13,20,5,Friday,Wrong Number,3
CALL0000178,ACC00072,A008,2025-01-08,17,3,Wednesday,Wrong Number,24
CALL0000179,ACC00073,A004,2024-02-11,16,5,Friday,Contacted,270
CALL0000180,ACC00073,A003,2024-10-21,18,1,Monday,Voicemail,4
CALL0000181,ACC00074,A008,2024-10-15,20,7,Sunday,Voicemail,6
CALL0000182,ACC00074,A010,2025-10-01,11,5,Friday,Contacted,120
CALL0000183,ACC00074,A001,2024-03-18,18,2,Tuesday,No Answer,14
CALL0000184,ACC00074,A002,2025-01-05,17,3,Wednesday,Contacted,81
CALL0000185,ACC00075,A002,2025-10-17,16,1,Monday,No Answer,23
CALL0000186,ACC00075,A001,2024-02-14,9,5,Friday,Wrong Number,0
CALL0000187,ACC00076,A008,2024-05-17,14,4,Thursday,Voicemail,27
CALL0000188,ACC00076,A006,2024-12-10,16,6,Saturday,Busy,7
CALL0000189,ACC00077,A005,2025-05-27,17,3,Wednesday,Busy,3
CALL0000190,ACC00077,A009,2025-08-07,14,4,Thursday,Wrong Number,7
CALL0000191,ACC00078,A004,2025-10-10,14,2,Tuesday,Busy,0
CALL0000192,ACC00078,A006,2024-04-03,20,7,Sunday,Wrong Number,13
CALL0000193,ACC00078,A005,2024-05-29,18,1,Monday,Contacted,371
CALL0000194,ACC00078,A001,2025-08-29,19,7,Sunday,Busy,9
CALL0000195,ACC00081,A002,2025-11-22,17,1,Monday,Contacted,80
CALL0000196,ACC00081,A010,2024-11-07,17,3,Wednesday,Contacted,118
CALL0000197,ACC00081,A008,2024-01-25,16,3,Wednesday,Contacted,176
CALL0000198,ACC00081,A006,2024-04-27,14,4,Thursday,Busy,7
CALL0000199,ACC00082,A001,2025-11-02,19,3,Wednesday,Busy,25
CALL0000200,ACC00082,A009,2024-04-01,19,1,Monday,Contacted,83
CALL0000201,ACC00082,A001,2025-09-01,16,1,Monday,No Answer,23
CALL0000202,ACC00082,A004,2024-11-13,19,4,Thursday,Contacted,569
CALL0000203,ACC00083,A001,2024-10-12,9,4,Thursday,Busy,19
CALL0000204,ACC00083,A008,2025-09-28,18,1,Monday,Contacted,255
CALL0000205,ACC00084,A009,2024-03-31,11,3,Wednesday,Contacted,55
CALL0000206,ACC00084,A010,2024-03-25,10,1,Monday,No Answer,11
CALL0000207,ACC00085,A006,2025-04-14,19,7,Sunday,No Answer,27
CALL0000208,ACC00085,A009,2024-08-13,9,6,Saturday,No Answer,11
CALL0000209,ACC00086,A004,2025-11-21,18,2,Tuesday,Wrong Number,15
CALL0000210,ACC00086,A010,2025-09-11,15,4,Thursday,No Answer,17
CALL0000211,ACC00086,A008,2024-05-07,18,1,Monday,Contacted,268
CALL0000212,ACC00086,A007,2025-02-21,18,3,Wednesday,Contacted,136
CALL0000213,ACC00087,A003,2025-03-13,15,6,Saturday,Wrong Number,12
CALL0000214,ACC00087,A007,2025-11-04,16,5,Friday,Contacted,271
CALL0000215,ACC00087,A007,2025-07-11,16,5,Friday,Contacted,119
CALL0000216,ACC00087,A003,2025-10-17,10,6,Saturday,Contacted,192
CALL0000217,ACC00088,A007,2025-03-21,15,6,Saturday,Busy,14
CALL0000218,ACC00088,A010,2024-03-28,20,7,Sunday,Busy,17
CALL0000219,ACC00089,A006,2025-07-04,20,1,Monday,Contacted,277
CALL0000220,ACC00089,A008,2025-08-02,16,1,Monday,Contacted,518
CALL0000221,ACC00089,A005,2025-04-21,10,3,Wednesday,Wrong Number,12
CALL0000222,ACC00091,A002,2025-07-24,14,5,Friday,Contacted,60
CALL0000223,ACC00091,A008,2024-10-24,10,3,Wednesday,Wrong Number,10
CALL0000224,ACC00091,A006,2025-07-18,16,4,Thursday,Busy,18
CALL0000225,ACC00091,A002,2025-02-09,13,1,Monday,No Answer,20
CALL0000226,ACC00092,A001,2024-11-11,16,1,Monday,Voicemail,24
CALL0000227,ACC00092,A009,2024-01-05,18,2,Tuesday,Contacted,215
CALL0000228,ACC00092,A004,2025-04-02,16,6,Saturday,Wrong Number,1
CALL0000229,ACC00092,A003,2025-10-19,8,1,Monday,No Answer,3
CALL0000230,ACC00093,A005,2024-01-14,9,4,Thursday,No Answer,15
CALL0000231,ACC00093,A003,2024-06-24,16,7,Sunday,Voicemail,4
CALL0000232,ACC00094,A007,2024-07-12,14,2,Tuesday,Contacted,46
CALL0000233,ACC00095,A003,2024-02-12,8,7,Sunday,No Answer,30
CALL0000234,ACC00096,A010,2024-06-25,19,4,Thursday,Contacted,295
CALL0000235,ACC00096,A006,2025-04-07,13,3,Wednesday,Voicemail,0
CALL0000236,ACC00096,A007,2025-05-21,19,5,Friday,Voicemail,9
CALL0000237,ACC00096,A001,2025-11-10,20,3,Wednesday,Wrong Number,8
CALL0000238,ACC00097,A005,2025-07-09,19,5,Friday,Contacted,341
CALL0000239,ACC00097,A007,2025-01-16,11,3,Wednesday,Contacted,419
CALL0000240,ACC00097,A005,2025-07-16,20,4,Thursday,Busy,21
CALL0000241,ACC00098,A009,2024-10-30,16,6,Saturday,Voicemail,20
CALL0000242,ACC00098,A007,2025-03-15,17,6,Saturday,Busy,13
CALL0000243,ACC00099,A006,2025-06-14,12,2,Tuesday,Wrong Number,15
CALL0000244,ACC00099,A003,2025-06-21,15,6,Saturday,Voicemail,7
CALL0000245,ACC00099,A004,2025-10-28,14,5,Friday,Voicemail,9
CALL0000246,ACC00099,A001,2025-03-16,20,5,Friday,No Answer,11
CALL0000247,ACC00100,A003,2024-11-08,13,1,Monday,No Answer,19
CALL0000248,ACC00100,A008,2025-06-28,12,3,Wednesday,No Answer,1
CALL0000249,ACC00100,A001,2024-07-20,12,6,Saturday,Busy,18
CALL0000250,ACC00101,A006,2025-04-02,11,5,Friday,Voicemail,8
CALL0000251,ACC00101,A002,2025-11-13,17,5,Friday,Contacted,59
CALL0000252,ACC00101,A003,2025-03-07,10,4,Thursday,Voicemail,1
CALL0000253,ACC00102,A009,2025-10-13,8,7,Sunday,Contacted,219
CALL0000254,ACC00102,A008,2024-04-06,12,3,Wednesday,Busy,29
CALL0000255,ACC00102,A004,2025-09-02,12,5,Friday,Busy,26
CALL0000256,ACC00103,A002,2025-09-27,19,5,Friday,Contacted,132
CALL0000257,ACC00103,A007,2024-05-25,11,3,Wednesday,Contacted,200
CALL0000258,ACC00103,A007,2025-01-01,11,3,Wednesday,Contacted,594
CALL0000259,ACC00104,A009,2025-01-24,19,5,Friday,Contacted,82
CALL0000260,ACC00104,A005,2025-01-07,15,4,Thursday,Voicemail,11
CALL0000261,ACC00104,A010,2024-12-16,20,2,Tuesday,No Answer,25
CALL0000262,ACC00104,A005,2025-10-02,9,2,Tuesday,Contacted,518
CALL0000263,ACC00105,A007,2025-01-01,12,5,Friday,No Answer,29
CALL0000264,ACC00105,A004,2024-05-18,15,4,Thursday,Contacted,496
CALL0000265,ACC00106,A006,2024-09-13,14,7,Sunday,No Answer,21
CALL0000266,ACC00107,A007,2025-01-18,20,5,Friday,Busy,24
CALL0000267,ACC00107,A002,2024-09-20,19,2,Tuesday,Voicemail,16
CALL0000268,ACC00107,A010,2025-06-07,20,4,Thursday,No Answer,18
CALL0000269,ACC00107,A001,2024-03-01,15,2,Tuesday,Wrong Number,7
CALL0000270,ACC00108,A008,2024-08-28,19,4,Thursday,Wrong Number,23
CALL0000271,ACC00108,A003,2024-03-01,12,1,Monday,Busy,29
CALL0000272,ACC00108,A003,2025-11-24,17,3,Wednesday,Contacted,132
CALL0000273,ACC00109,A009,2024-08-08,12,2,Tuesday,No Answer,9
CALL0000274,ACC00109,A001,2024-12-18,19,1,Monday,Contacted,185
CALL0000275,ACC00109,A003,2024-05-28,14,5,Friday,Voicemail,1
CALL0000276,ACC00109,A003,2025-07-20,11,5,Friday,Contacted,291
CALL0000277,ACC00109,A010,2025-04-27,13,3,Wednesday,Busy,19
CALL0000278,ACC00110,A002,2024-12-05,12,1,Monday,Voicemail,6
CALL0000279,ACC00111,A002,2024-07-26,17,2,Tuesday,Voicemail,7
CALL0000280,ACC00111,A002,2024-02-09,17,6,Saturday,Wrong Number,15
CALL0000281,ACC00112,A008,2024-04-19,13,3,Wednesday,No Answer,30
CALL0000282,ACC00112,A008,2025-09-11,10,6,Saturday,No Answer,29
CALL0000283,ACC00112,A010,2024-08-06,19,4,Thursday,Busy,21
CALL0000284,ACC00113,A002,2024-02-24,18,3,Wednesday,Busy,5
CALL0000285,ACC00114,A008,2024-09-09,14,6,Saturday,Wrong Number,6
CALL0000286,ACC00114,A010,2025-03-21,18,1,Monday,Contacted,170
CALL0000287,ACC00114,A006,2025-06-10,17,3,Wednesday,Contacted,329
CALL0000288,ACC00115,A005,2025-09-25,19,1,Monday,No Answer,8
CALL0000289,ACC00115,A007,2024-11-21,9,5,Friday,Contacted,164
CALL0000290,ACC00115,A005,2025-06-17,11,4,Thursday,Busy,23
CALL0000291,ACC00115,A007,2025-10-15,13,1,Monday,Wrong Number,14
CALL0000292,ACC00117,A007,2024-02-18,12,4,Thursday,Busy,8
CALL0000293,ACC00117,A004,2025-04-15,17,2,Tuesday,Contacted,179
CALL0000294,ACC00117,A009,2025-03-10,16,1,Monday,Contacted,279
CALL0000295,ACC00118,A004,2025-04-02,11,1,Monday,No Answer,7
CALL0000296,ACC00118,A002,2024-10-14,14,1,Monday,Busy,0
CALL0000297,ACC00118,A003,2024-08-28,16,4,Thursday,Contacted,271
CALL0000298,ACC00120,A002,2024-07-20,17,1,Monday,Wrong Number,16
CALL0000299,ACC00120,A010,2025-10-14,14,3,Wednesday,Contacted,580
CALL0000300,ACC00120,A007,2025-11-23,17,1,Monday,Wrong Number,7
CALL0000301,ACC00121,A007,2025-04-22,18,4,Thursday,Contacted,527
CALL0000302,ACC00121,A002,2025-05-08,11,1,Monday,No Answer,8
CALL0000303,ACC00121,A005,2024-02-21,20,6,Saturday,Wrong Number,7
CALL0000304,ACC00122,A003,2024-01-29,18,5,Friday,Voicemail,3
CALL0000305,ACC00122,A010,2024-08-09,15,4,Thursday,Contacted,142
CALL0000306,ACC00122,A006,2024-03-23,17,5,Friday,Contacted,295
CALL0000307,ACC00123,A003,2025-04-28,10,3,Wednesday,No Answer,19
CALL0000308,ACC00123,A009,2025-04-09,15,1,Monday,No Answer,22
CALL0000309,ACC00124,A003,2024-05-24,19,2,Tuesday,Contacted,139
CALL0000310,ACC00124,A001,2025-02-15,18,3,Wednesday,Busy,30
CALL0000311,ACC00125,A005,2025-05-21,11,1,Monday,Wrong Number,23
CALL0000312,ACC00125,A007,2024-02-17,10,1,Monday,Voicemail,21
CALL0000313,ACC00126,A004,2024-11-05,12,3,Wednesday,Wrong Number,13
CALL0000314,ACC00126,A002,2024-08-11,8,7,Sunday,Wrong Number,13
CALL0000315,ACC00126,A005,2025-12-01,12,4,Thursday,Contacted,220
CALL0000316,ACC00126,A007,2025-06-07,11,4,Thursday,Wrong Number,6
CALL0000317,ACC00126,A010,2024-09-25,15,6,Saturday,Wrong Number,17
CALL0000318,ACC00127,A009,2025-06-06,19,6,Saturday,Contacted,594
CALL0000319,ACC00127,A004,2024-08-24,8,2,Tuesday,Busy,12
CALL0000320,ACC00128,A010,2024-03-21,18,4,Thursday,Contacted,178
CALL0000321,ACC00128,A010,2024-04-26,17,2,Tuesday,Wrong Number,10
CALL0000322,ACC00128,A003,2024-08-16,12,1,Monday,Wrong Number,23
CALL0000323,ACC00129,A002,2024-03-24,16,2,Tuesday,Voicemail,15
CALL0000324,ACC00129,A001,2025-06-15,11,1,Monday,Contacted,440
CALL0000325,ACC00129,A010,2025-05-06,13,3,Wednesday,Voicemail,26
CALL0000326,ACC00130,A003,2024-10-18,16,3,Wednesday,Voicemail,5
CALL0000327,ACC00130,A006,2024-04-19,15,1,Monday,Wrong Number,25
CALL0000328,ACC00131,A001,2024-12-30,16,1,Monday,No Answer,30
CALL0000329,ACC00131,A004,2025-03-19,9,2,Tuesday,Voicemail,13
CALL0000330,ACC00131,A006,2024-04-06,20,2,Tuesday,Contacted,502
CALL0000331,ACC00131,A007,2024-12-26,15,2,Tuesday,Wrong Number,3
CALL0000332,ACC00131,A010,2025-09-03,12,3,Wednesday,No Answer,2
CALL0000333,ACC00132,A009,2024-08-04,16,5,Friday,No Answer,12
CALL0000334,ACC00132,A008,2024-06-19,17,1,Monday,Contacted,43
CALL0000335,ACC00132,A002,2024-03-19,15,3,Wednesday,Contacted,205
CALL0000336,ACC00132,A004,2025-02-02,11,7,Sunday,No Answer,25
CALL0000337,ACC00133,A010,2025-09-20,19,3,Wednesday,No Answer,9
CALL0000338,ACC00134,A006,2024-09-05,15,2,Tuesday,Contacted,332
CALL0000339,ACC00134,A004,2025-06-12,18,4,Thursday,Contacted,461
CALL0000340,ACC00134,A008,2025-11-27,16,4,Thursday,No Answer,4
CALL0000341,ACC00134,A006,2024-10-12,20,2,Tuesday,Busy,29
CALL0000342,ACC00135,A006,2024-12-16,10,5,Friday,Contacted,218
CALL0000343,ACC00135,A008,2025-07-25,19,1,Monday,Voicemail,26
CALL0000344,ACC00135,A004,2025-03-07,19,6,Saturday,Contacted,216
CALL0000345,ACC00136,A006,2024-02-08,10,4,Thursday,Contacted,297
CALL0000346,ACC00136,A004,2024-09-21,10,2,Tuesday,Voicemail,10
CALL0000347,ACC00137,A010,2025-02-02,11,1,Monday,Contacted,511
CALL0000348,ACC00138,A005,2025-11-08,18,5,Friday,Wrong Number,22
CALL0000349,ACC00138,A001,2025-01-06,19,4,Thursday,Voicemail,29
CALL0000350,ACC00139,A004,2025-09-17,16,2,Tuesday,Contacted,525
CALL0000351,ACC00139,A009,2024-12-02,17,5,Friday,Contacted,440
CALL0000352,ACC00139,A007,2024-03-06,9,2,Tuesday,Wrong Number,6
CALL0000353,ACC00140,A003,2025-05-04,17,1,Monday,Voicemail,0
CALL0000354,ACC00140,A002,2024-11-08,10,2,Tuesday,Contacted,306
